cat,code,catMaster,catReport,required,retired,comment,Country,inMin,inPilot,SubCode,UserDefined,PDAEventType
"ARTHRITIS","ARTHRSEPT","DLAME",0,1,0,,,,0,0,0,
"ARTHRITIS","ARTHRUNSPEC","DLAME",0,1,0,"24042001 GRA Added",,,0,0,0,
"ASSIST","MAJOR","ASSIST",0,1,0,,,,0,0,0,
"ASSIST","MINOR","ASSIST",0,1,0,,,,0,0,0,
"ASSIST","NONE","ASSIST",0,1,0,,,,0,0,0,
"BIOMETHOD","BORN","BIOMETHOD",0,1,0,"30112001 GRA Added",,,0,0,0,
"BIOMETHOD","PRES","BIOMETHOD",0,1,0,,,,0,0,0,
"BIOMETHOD","PURCH","BIOMETHOD",0,1,0,,,,0,0,0,
"BIOMETHOD","TRANS","BIOMETHOD",0,1,0,,,,0,0,0,
"BOUGHT","DRY","BOUGHT",0,1,0,,,,0,0,0,
"BOUGHT","LACT","BOUGHT",0,1,0,,,,0,0,0,
"CBDE","ABORT","CBDE",0,1,0,,,,0,0,0,
"CBDE","BULLIN","CBDE",0,1,0,,,,0,0,0,
"CBDE","BULLOUT","CBDE",0,1,0,,,,0,0,0,
"CBDE","CALVING","CBDE",0,1,0,,,,0,0,0,
"CBDE","CS","CBDE",0,1,0,,,,0,0,0,
"CBDE","DISEAS","CBDE",0,1,0,,,,0,0,0,
"CBDE","DRYOFF","CBDE",0,1,0,,,,0,0,0,
"CBDE","GRAZOF","CBDE",0,1,0,,,,0,0,0,
"CBDE","GRAZON","CBDE",0,1,0,,,,0,0,0,
"CBDE","HEAT","CBDE",0,1,0,,,,0,0,0,
"CBDE","HGT","CBDE",0,1,0,,,,0,0,0,
"CBDE","MANAGE","CBDE",0,1,0,,,,0,0,0,
"CBDE","NURSOF","CBDE",0,1,0,,,,0,0,0,
"CBDE","NURSON","CBDE",0,1,0,,,,0,0,0,
"CBDE","PROD","CBDE",0,1,0,,,,0,0,0,
"CBDE","PSMCHG","CBDE",0,1,0,,,,0,0,0,
"CBDE","PSMEDIT","CBDE",0,1,0,,,,0,0,0,
"CBDE","REMOVE","CBDE",0,1,0,,,,0,0,0,
"CBDE","REPROEXAM","CBDE",0,1,0,,,,0,0,0,
"CBDE","SAMPLE","CBDE",0,1,0,,,,0,0,0,
"CBDE","SERV","CBDE",0,1,0,,,,0,0,0,
"CBDE","TOCULL","CBDE",0,1,0,,,,0,0,0,
"CBDE","TPROC","CBDE",0,1,0,,,,0,0,0,
"CBDE","TREAT","CBDE",0,1,0,,,,0,0,0,
"CBDE","VRSTOF","CBDE",0,1,0,,,,0,0,0,
"CBDE","VRSTON","CBDE",0,1,0,,,,0,0,0,
"CBDE","VVOFF","CBDE",0,1,0,,,,0,0,0,
"CBDE","WGT","CBDE",0,1,0,,,,0,0,0,
"CLFFTE","BOBBIE","CLFFTE",0,1,0,,"NZAUSINT",,0,0,0,
"CLFFTE","CSOLD","CLFFTE",0,1,0,,,,0,0,0,
"CLFFTE","DIED","CLFFTE",0,1,0,,,,0,0,0,
"CLFFTE","REARED","CLFFTE",0,1,0,,,,0,0,0,
"CLFSEX","BULL","CLFSEX",0,1,0,,,,0,0,0,
"CLFSEX","HFR","CLFSEX",0,1,0,,,,0,0,0,
"CLVCODE","CLVBD","CLVCODE",0,1,0,"13082000 GRA Added",,,0,0,0,
"CLVCODE","CLVBI","CLVCODE",0,1,0,"13082000 GRA Added",,,0,0,0,
"CLVCODE","CLVBL","CLVCODE",0,1,0,"13082000 GRA Added",,,0,0,0,
"CLVCODE","CLVBR","CLVCODE",0,1,0,"13082000 GRA Added",,,0,0,0,
"CLVCODE","CLVCL","CLVCODE",0,1,0,"13082000 GRA Added",,,0,0,0,
"CLVCODE","CLVCP","CLVCODE",0,1,0,"13082000 GRA Added",,,0,0,0,
"CLVCODE","CLVD2","CLVCODE",0,1,0,"13082000 GRA Added",,,0,0,0,
"CLVCODE","CLVD3","CLVCODE",0,1,0,"13082000 GRA Added",,,0,0,0,
"CLVCODE","CLVD4","CLVCODE",0,1,0,"13082000 GRA Added",,,0,0,0,
"CLVCODE","CLVD5","CLVCODE",0,1,0,"13082000 GRA Added",,,0,0,0,
"CLVCODE","CLVDR","CLVCODE",0,1,0,"13082000 GRA Added",,,0,0,0,
"CLVCODE","CLVEC","CLVCODE",0,1,0,"13082000 GRA Added",,,0,0,0,
"CLVCODE","CLVET","CLVCODE",0,1,0,"13082000 GRA Added",,,0,0,0,
"CLVCODE","CLVHA","CLVCODE",0,1,0,"13082000 GRA Added",,,0,0,0,
"CLVCODE","CLVIN","CLVCODE",0,1,0,"13082000 GRA Added",,,0,0,0,
"CLVCODE","CLVMF","CLVCODE",0,1,0,"13082000 GRA Added",,,0,0,0,
"CLVCODE","CLVMM","CLVCODE",0,1,0,"13082000 GRA Added",,,0,0,0,
"CLVCODE","CLVMP","CLVCODE",0,1,0,"13082000 GRA Added",,,0,0,0,
"CLVCODE","CLVOD","CLVCODE",0,1,0,"13082000 GRA Added",,,0,0,0,
"CLVCODE","CLVPL","CLVCODE",0,1,0,"13082000 GRA Added",,,0,0,0,
"CLVCODE","CLVPO","CLVCODE",0,1,0,"13082000 GRA Added",,,0,0,0,
"CLVCODE","CLVPR","CLVCODE",0,1,0,"13082000 GRA Added",,,0,0,0,
"CLVCODE","CLVRC","CLVCODE",0,1,0,"13082000 GRA Added",,,0,0,0,
"CLVCODE","CLVRD","CLVCODE",0,1,0,"13082000 GRA Added",,,0,0,0,
"CLVCODE","CLVSB","CLVCODE",0,1,0,"13082000 GRA Added",,,0,0,0,
"CLVCODE","CLVSC","CLVCODE",0,1,0,"13082000 GRA Added",,,0,0,0,
"CLVCODE","CLVSD","CLVCODE",0,1,0,"13082000 GRA Added",,,0,0,0,
"CLVCODE","CLVSJ","CLVCODE",0,1,0,"13082000 GRA Added",,,0,0,0,
"CLVCODE","CLVSW","CLVCODE",0,1,0,"13082000 GRA Added",,,0,0,0,
"CLVCODE","CLVTD","CLVCODE",0,1,0,"13082000 GRA Added",,,0,0,0,
"CLVCODE","CLVTF","CLVCODE",0,1,0,"13082000 GRA Added",,,0,0,0,
"CLVCODE","CLVWS","CLVCODE",0,1,0,"13082000 GRA Added",,,0,0,0,
"CLVSPREAD","AGEANA","CLVSPREAD",0,1,0,,,,0,0,0,
"CLVSPREAD","HISTOGRAM","CLVSPREAD",0,1,0,,,,0,0,0,
"CLVSPREAD","SUMM","CLVSPREAD",0,1,0,,,,0,0,0,
"CLVTYP","INDUCE","CLVTYP",0,1,0,,,,0,0,0,
"CLVTYP","NORMAL","CLVTYP",0,1,0,,,,0,0,0,
"CLVTYP","PREM","CLVTYP",0,1,0,,,,0,0,0,
"CODEOP","ADDCODE","CODEOP",0,1,0,,,,0,0,0,
"CODEOP","EDIT","CODEOP",0,1,0,,,,0,0,0,
"CODEOP","REMCODE","CODEOP",0,1,0,,,,0,0,0,
"CODEOP","RETIRE","CODEOP",0,1,0,,,,0,0,0,
"COWDE","ABORT","COWDE",0,1,0,,,,1,0,0,
"COWDE","ALTCOWNUM","COWDE",0,1,0,,,,0,0,0,
"COWDE","BULLIN","COWDE",0,1,0,,,,0,0,0,
"COWDE","BULLOUT","COWDE",0,1,0,,,,0,0,0,
"COWDE","CALVING","COWDE",0,1,0,,,,1,0,0,
"COWDE","CS","COWDE",0,1,0,,,,1,0,0,
"COWDE","DISEAS","COWDE",0,1,0,,,,1,0,0,
"COWDE","DRYOFF","COWDE",0,1,0,,,,1,0,0,
"COWDE","ENTER","COWDE",0,1,0,,,,0,0,0,
"COWDE","GRAZOF","COWDE",0,1,0,,,,1,0,0,
"COWDE","GRAZON","COWDE",0,1,0,,,,1,0,0,
"COWDE","HEAT","COWDE",0,1,0,,,,1,0,0,
"COWDE","HGT","COWDE",0,1,0,,,,1,0,0,
"COWDE","MANAGE","COWDE",0,1,0,,,,1,0,0,
"COWDE","NURSOF","COWDE",0,1,0,,,,1,0,0,
"COWDE","NURSON","COWDE",0,1,0,,,,1,0,0,
"COWDE","PROD","COWDE",0,1,0,,,,0,0,0,
"COWDE","PSMCHG","COWDE",0,1,0,,,,1,0,0,
"COWDE","REMOVE","COWDE",0,1,0,,,,1,0,0,
"COWDE","REPROEXAM","COWDE",0,1,0,,,,1,0,0,
"COWDE","SAMPLE","COWDE",0,1,0,,,,1,0,0,
"COWDE","SERV","COWDE",0,1,0,,,,1,0,0,
"COWDE","TAGHEIFER","COWDE",0,1,0,,,,0,0,0,
"COWDE","TOCULL","COWDE",0,1,0,,,,1,0,0,
"COWDE","TPROC","COWDE",0,1,0,"25092000 GRA Added",,,0,0,0,
"COWDE","TREAT","COWDE",0,1,0,,,,1,0,0,
"COWDE","VRSTOF","COWDE",0,1,0,,,,1,0,0,
"COWDE","VRSTON","COWDE",0,1,0,,,,1,0,0,
"COWDE","VVOFF","COWDE",0,1,0,,,,1,0,0,
"COWDE","WGT","COWDE",0,1,0,,,,1,0,0,
"COWDEMIN","ABORT","COWDEMIN",0,1,0,,,"Y",0,0,0,
"COWDEMIN","BULLIN","COWDEMIN",0,1,0,,,"Y",0,0,0,
"COWDEMIN","BULLOUT","COWDEMIN",0,1,0,,,"Y",0,0,0,
"COWDEMIN","CALVING","COWDEMIN",0,1,0,,,"Y",0,0,0,
"COWDEMIN","DRYOFF","COWDEMIN",0,1,0,,,"Y",0,0,0,
"COWDEMIN","HEAT","COWDEMIN",0,1,0,,,"Y",0,0,0,
"COWDEMIN","PSMCHG","COWDEMIN",0,1,0,,,"Y",0,0,0,
"COWDEMIN","REMOVE","COWDEMIN",0,1,0,,,"Y",0,0,0,
"COWDEMIN","REPROEXAM","COWDEMIN",0,1,0,,,"Y",0,0,0,
"COWDEMIN","SERV","COWDEMIN",0,1,0,,,"Y",0,0,0,
"COWDEMIN","TPROC","COWDEMIN",0,1,0,"25092000 GRA Added",,,0,0,0,
"COWPAD","ABORT","COWPAD",0,1,0,"17082000 GRA Added",,,1,0,1,0
"COWPAD","ALTCOWNUM","COWPAD",0,1,0,"17082000 GRA Added",,,1,0,1,18
"COWPAD","BULLIN","COWPAD",0,1,0,"17082000 GRA Added",,,1,0,1,2
"COWPAD","BULLOUT","COWPAD",0,1,0,"17082000 GRA Added",,,1,0,1,3
"COWPAD","CALVING","COWPAD",0,1,0,"17082000 GRA Added",,,1,0,1,4
"COWPAD","CS","COWPAD",0,1,0,"17082000 GRA Added",,,1,0,1,5
"COWPAD","DISEAS","COWPAD",0,1,0,"17082000 GRA Added",,,1,0,1,7
"COWPAD","DRYOFF","COWPAD",0,1,0,"17082000 GRA Added",,,1,0,1,8
"COWPAD","ENTER","COWPAD",0,1,0,"17082000 GRA Added",,,1,0,1,6
"COWPAD","GRAZOF","COWPAD",0,1,0,"17082000 GRA Added",,,1,0,1,9
"COWPAD","GRAZON","COWPAD",0,1,0,"17082000 GRA Added",,,1,0,1,10
"COWPAD","HEAT","COWPAD",0,1,0,"17082000 GRA Added",,,1,0,1,11
"COWPAD","HGT","COWPAD",0,1,0,"17082000 GRA Added",,,1,0,1,12
"COWPAD","MANAGE","COWPAD",0,1,0,"17082000 GRA Added",,,1,0,1,13
"COWPAD","NURSOF","COWPAD",0,1,0,"17082000 GRA Added",,,1,0,1,14
"COWPAD","NURSON","COWPAD",0,1,0,"17082000 GRA Added",,,1,0,1,15
"COWPAD","PSMCHG","COWPAD",0,1,0,"17082000 GRA Added",,,1,0,1,1
"COWPAD","REMOVE","COWPAD",0,1,0,"17082000 GRA Added",,,1,0,1,17
"COWPAD","REPROEXAM","COWPAD",0,1,0,"17082000 GRA Added",,,1,0,1,19
"COWPAD","SAMPLE","COWPAD",0,1,0,"17082000 GRA Added",,,1,0,1,20
"COWPAD","SERV","COWPAD",0,1,0,"17082000 GRA Added",,,1,0,1,21
"COWPAD","TAGHEIFER","COWPAD",0,1,0,"17082000 GRA Added",,,1,0,1,22
"COWPAD","TOCULL","COWPAD",0,1,0,"17082000 GRA Added",,,1,0,1,23
"COWPAD","TPROC","COWPAD",0,1,0,"30042000 GWB Added",,,1,0,1,16
"COWPAD","TREAT","COWPAD",0,1,0,"17082000 GRA Added",,,1,0,1,24
"COWPAD","VRSTOF","COWPAD",0,1,0,"17082000 GRA Added",,,1,0,1,25
"COWPAD","VRSTON","COWPAD",0,1,0,"17082000 GRA Added",,,1,0,1,26
"COWPAD","VVOFF","COWPAD",0,1,0,"17082000 GRA Added",,,1,0,1,27
"COWPAD","WGT","COWPAD",0,1,0,"17082000 GRA Added",,,1,0,1,28
"COWTYP","CALF","COWTYP",0,1,0,,,,0,0,0,
"COWTYP","COW","COWTYP",0,1,0,,,,0,0,0,
"COWTYP","HEIFER","COWTYP",0,1,0,,,,0,0,0,
"COWTYP","MALE","COWTYP",0,1,0,,,,0,0,0,
"CULLIN","IGNORE","CULLIN",0,1,0,,,,0,0,0,
"CULLIN","POSSIN","CULLIN",0,1,0,,,,0,0,0,
"CULLIN","SELECT","CULLIN",0,1,0,,,,0,0,0,
"CUSTOM","AGE","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","BI","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","BIRTH","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","BREED","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","CCTST","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","CLFFTE","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","CLFLID","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","CLFSEX","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","CLVCON","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","CLVDAT","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","CLVS1","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","CLVTYP","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","CS","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","DAMLID","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","DAMNA","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","DAMNO","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","DIM","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","DODTE","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","DUEDAT","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","DUESIR","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","EXPCBI","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","FATLTD","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","FATPT","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","FATTOT","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","FATTST","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","FERTST","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","FHDTE","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","FSVDTE","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","LACTNO","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","LACTST","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","LHDTE","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","LI","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","LID","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","LSTPSM","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","LSVDTE","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","MLKLTD","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","MLKPT","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","MLKTOT","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","MLKTST","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","MSCC","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","NAME","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","NOBORN","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","NUMBER","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","NUMSVS","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","PI","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","PROLTD","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","PROPC","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","PROTOT","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","PROTST","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","REMOVE","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","SIRENA","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","SIRLID","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","SOLLTD","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","SOLPC","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","SOLPT","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","SOLTOT","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","SOLTST","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","VALLTD","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","VALTST","CUSTOM",0,1,0,,,,0,0,0,
"CUSTOM","WGT","CUSTOM",0,1,0,,,,0,0,0,
"DAILAV","FAT","DAILAV",0,1,0,,,,0,0,0,
"DAILAV","MILK","DAILAV",0,1,0,,,,0,0,0,
"DAILAV","PROT","DAILAV",0,1,0,,,,0,0,0,
"DAILAV","SOLIDS","DAILAV",0,1,0,,,,0,0,0,
"DAILAV","VALUE","DAILAV",0,1,0,,,,0,0,0,
"DAYMON","DAY","DAYMON",0,1,0,,,,0,0,0,
"DAYMON","MONTH","DAYMON",0,1,0,,,,0,0,0,
"DCALV","ASCALV","DCALV",0,1,0,,,,0,0,0,
"DCALV","CALVDIS","DCALV",0,1,0,"30082000 GRA Added",,,0,0,0,
"DCALV","CLVPAR","DCALV",0,1,0,,,,0,0,0,
"DCALV","PROUT","DCALV",0,1,0,"30082000 GRA Was DREPRO",,,0,0,0,
"DCALV","RETMEM","DCALV",0,1,0,"30082000 GRA was DREPRO",,,0,0,0,
"DINFECTIOUS","BRUCELLOSIS","DINFECTIOUS",0,1,0,"Was DMISC","NZIRI",,0,0,0,
"DINFECTIOUS","LEPTO","DINFECTIOUS",0,1,0,"Was DMISC",,,0,0,0,
"DINFECTIOUS","LISTERIA","DINFECTIOUS",0,1,0,"13082000 GRA Added",,,0,0,0,
"DINFECTIOUS","SALMONELLA","DINFECTIOUS",0,1,0,"13082000 GRA Added",,,0,0,0,
"DINFECTIOUS","TB","DINFECTIOUS",0,1,0,"Was DMISC","NZIRI",,0,0,0,
"DINFECTIOUS","TBREACTOR","DINFECTIOUS",0,1,0,,,,0,0,0,
"DINFECTIOUS","YERSIN","DINFECTIOUS",0,1,0,"13082000 GRA Added",,,0,0,0,
"DINFECTIOUS","ZOONOSES","DINFECTIOUS",0,1,0,"08102000 GRA Added",,,0,0,0,
"DLAME","ARTHRITIS",,0,1,0,"13082000 GRA Added",,,0,1,0,
"DLAME","BRUISE","DLAME",0,1,0,,,,0,0,0,
"DLAME","DISLOCATION","DLAME",0,1,0,,,,0,0,0,
"DLAME","DLAMENESS",,0,1,0,"13082000 GRA Added",,,0,1,0,
"DLAME","DLAMEWCRK",,0,1,0,"18082000 GRA Added",,,0,1,0,
"DLAME","FRACTURE","DLAME",0,1,0,,,,0,0,0,
"DLAME","FTROT","DLAME",0,1,0,,,,0,0,0,
"DLAME","INJURY","DLAME",0,1,0,,,,0,0,0,
"DLAME","LAMINITIS","DLAME",0,1,0,,,,0,0,0,
"DLAME","MSKELDISEASE","DLAME",0,1,0,,,,0,0,0,
"DLAME","OGCLAW","DLAME",0,1,0,,,,0,0,0,
"DLAME","ULCERSOLE","DLAME",0,1,0,,,,0,0,0,
"DLAME","WTLINE","DLAME",0,1,0,,,,0,0,0,
"DLAMENESS","LAME","DLAME",0,1,0,"13082000 GRA Added","NZIRI",,0,0,0,
"DLAMENESS","LAMEBACK","DLAME",0,1,0,,"NZIRI",,0,0,0,
"DLAMENESS","LAMEFOOT","DLAME",0,1,0,,"NZIRI",,0,0,0,
"DLAMENESS","LAMEUPPER","DLAME",0,1,0,,"NZIRI",,0,0,0,
"DLAMEWCRK","CRACKAB","DLAME",0,1,0,"18082000 GRA Changed, was DLAME",,,0,0,0,
"DLAMEWCRK","CRACKAX","DLAME",0,1,0,"18082000 GRA Changed, was DLAME",,,0,0,0,
"DLAMEWCRK","CRACKUNSPEC","DLAME",0,1,0,"24042001 GRA Added",,,0,0,0,
"DMAST","MAST","DMAST",1,1,0,,,,0,0,0,
"DMAST","MASTACUTE","DMAST",1,1,0,,,,0,0,0,
"DMAST","MASTCHRONIC","DMAST",1,1,0,,,,0,0,0,
"DMAST","MASTTLES","DMAST",0,1,0,"13082000 GRA Added",,,0,0,0,
"DMAST","MASTUDDER","DMAST",0,1,0,"13082000 GRA Added",,,0,0,0,
"DMAST","RUPSUSLIG","DMAST",0,1,0,,,,0,0,0,
"DMAST","TEATINJURY","DMAST",0,1,0,,,,0,0,0,
"DMAST","UDDERABSC","DMAST",0,1,0,,,,0,0,0,
"DMAST","UDDEROEDEMA","DMAST",0,1,0,,,,0,0,0,
"DMETAB","DEFICCO","DMETAB",0,1,0,"Was DMISC","NZIRI",,0,0,0,
"DMETAB","DEFICCU","DMETAB",0,1,0,"Was DMISC","NZIRI",,0,0,0,
"DMETAB","DEFICNA","DMETAB",0,1,0,"01102000 GRA Added",,,0,0,0,
"DMETAB","DEFICP","DMETAB",0,1,0,"01102000 GRA Added",,,0,0,0,
"DMETAB","DEFICSE","DMETAB",0,1,0,"Was DMISC","NZIRI",,0,0,0,
"DMETAB","DEFUNSPEC","DMETAB",0,1,0,"30082000 GRA Added",,,0,0,0,
"DMETAB","DOWN","DMETAB",0,1,0,,,,0,0,0,
"DMETAB","GSTAG","DMETAB",0,1,0,,,,0,0,0,
"DMETAB","KETOS","DMETAB",0,1,0,,,,0,0,0,
"DMETAB","METDIS","DMETAB",0,1,0,,,,0,0,0,
"DMETAB","MLKFEV","DMETAB",0,1,0,,,,0,0,0,
"DMETAB","PREGTOXAEMIA","DMETAB",0,1,0,,,,0,0,0,
"DMISC","ABSCES","DMISC",0,1,0,,,,0,0,0,
"DMISC","BLACKLEG","DMISC",0,1,0,,,,0,0,0,
"DMISC","BVD","DMISC",0,1,0,"13082000 GRA Added",,,0,0,0,
"DMISC","CAE","DMISC",0,1,0,"08102000 GRA Added",,,0,0,0,
"DMISC","CANCEREYE","DMISC",0,1,0,,,,0,0,0,
"DMISC","CANCERUNSPEC","DMISC",0,1,0,"30082000 GRA Added",,,0,0,0,
"DMISC","CARDIOMISC","DMISC",0,1,0,"05092000 GRA Addded",,,0,0,0,
"DMISC","DMISCABOMAS",,0,1,0,"05092000 GRA Added",,,0,1,0,
"DMISC","DMISCBLOAT",,0,1,0,"24082000 GRA Added",,,0,1,0,
"DMISC","DMISCGASTRO",,0,1,0,"18082000 GRA Added",,,0,1,0,
"DMISC","DMISCILL",,0,1,0,"24082000 GRA Added",,,0,1,0,
"DMISC","DMISCLIVER",,0,1,0,"05092000 GRA Added",,,0,1,0,
"DMISC","DMISCMOUTH",,0,1,0,"05092000 GRA Added",,,0,1,0,
"DMISC","DMISCOTHER",,0,1,0,"05092000 GRA Added",,,0,1,0,
"DMISC","DMISCRENAL",,0,1,0,"24082000 GRA Added",,,0,1,0,
"DMISC","DMISCRESP",,0,1,0,"24082000 GRA Added",,,0,1,0,
"DMISC","DMISCRUMEN",,0,1,0,"05092000 GRA Added",,,0,0,0,
"DMISC","DMISCSCOUR",,0,1,0,"24082000 GRA Added",,,0,1,0,
"DMISC","EBL","DMISC",0,1,0,"Was DMISC","NZIRI",,0,0,0,
"DMISC","ESHOCK","DMISC",0,1,0,"01102000 GRA Added",,,0,0,0,
