treatKey,cowKey,treatDate,treatType,VF,reason,diseaseKey,comment,Cost,EventCode,EventKey,StartTime,TechnicianID,EndDate,EndTime,AdminMethodCode,DoseAmount,DoseUOMCode,TreatOnce,DoseFrequency,DosePeriodCode,DoseCount,TreatmentRegime,WithholdPeriodMilk,WithholdPeriodMeat,MilkOverrideAmount,MeatOverrideAmount,TechnicianWithheldID,DateCreated,WitholdingPeriod
21,67,"02/05/08 00:00:00","T_DCT","FARMER","ORB DC",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
22,68,"05/12/07 00:00:00","TTRACE","FARMER","IODINE",,"4ml",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
23,68,"06/24/07 00:00:00","T_HORM","VET","PROSTA",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
24,68,"02/05/08 00:00:00","T_DCT","FARMER","ORB DC",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
25,69,"03/24/07 00:00:00","T_INTR","FARMER","SPEC F",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
26,69,"05/12/07 00:00:00","TTRACE","FARMER","IODINE",,"4ml",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
27,69,"02/05/08 00:00:00","T_DCT","FARMER","ORB DC",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
28,70,"04/22/07 00:00:00","T_ANTB","FARMER","PENSA",,"20ml Mylipen",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
29,70,"05/12/07 00:00:00","TTRACE","FARMER","IODINE",,"4ml",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
30,70,"01/15/08 00:00:00","T_DCT","FARMER","ORB DC",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
31,71,"05/12/07 00:00:00","TTRACE","FARMER","IODINE",,"4ml",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
32,71,"06/24/07 00:00:00","T_HORM","VET","PROSTA",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
33,71,"03/24/08 00:00:00","T_CLVI","FARMER","F IND",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
34,72,"05/12/07 00:00:00","TTRACE","FARMER","IODINE",,"4ml",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
35,72,"02/05/08 00:00:00","T_DCT","FARMER","ORB DC",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
36,73,"05/12/07 00:00:00","TTRACE","FARMER","IODINE",,"4ml",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
37,73,"02/05/08 00:00:00","T_DCT","FARMER","ORB DC",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
38,73,"02/04/07 00:00:00","T_INTR","FARMER","SPEC F",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
39,74,"05/12/07 00:00:00","TTRACE","FARMER","IODINE",,"4ml",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
40,75,"05/12/07 00:00:00","TTRACE","FARMER","IODINE",,"4ml",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
41,76,"05/04/07 00:00:00","T_ANTB","FARMER","AMPHRM",,"25ml (6injectns)",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
42,76,"05/12/07 00:00:00","TTRACE","FARMER","IODINE",,"4ml",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
43,77,"05/12/07 00:00:00","TTRACE","FARMER","IODINE",,"4ml",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
44,78,"05/12/07 00:00:00","TTRACE","FARMER","IODINE",,"4ml",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
45,78,"07/13/07 00:00:00","T_ANTB","FARMER","PENSA",,"20ml Mylipen",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
46,78,"02/05/08 00:00:00","T_DCT","FARMER","ORB DC",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
47,79,"05/12/07 00:00:00","TTRACE","FARMER","IODINE",,"4ml",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
48,79,"06/24/07 00:00:00","T_HORM","VET","PROSTA",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
49,79,"10/20/07 00:00:00","T_ANTB","FARMER","PENSA",,"Mylipen",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
50,79,"11/04/07 00:00:00","T_ANTB","FARMER","OXYTET",,"Engemycin",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
51,79,"02/05/08 00:00:00","T_DCT","FARMER","ORB DC",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
52,80,"05/12/07 00:00:00","TTRACE","FARMER","IODINE",,"4ml",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
53,81,"05/12/07 00:00:00","TTRACE","FARMER","IODINE",,"4ml",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
54,81,"03/24/08 00:00:00","T_CLVI","FARMER","F IND",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
55,82,"05/12/07 00:00:00","TTRACE","FARMER","IODINE",,"4ml",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
56,83,"05/12/07 00:00:00","TTRACE","FARMER","IODINE",,"4ml",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
57,83,"06/26/07 00:00:00","T_INTR","FARMER","SPEC F",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
58,83,"08/15/07 00:00:00","T_INTR","FARMER","SPEC F",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
59,83,"02/05/08 00:00:00","T_DCT","FARMER","ORB DC",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
60,83,"03/24/08 00:00:00","T_CLVI","FARMER","F IND",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
61,84,"05/11/07 00:00:00","T_HORM","VET","PROSTA",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
62,84,"05/12/07 00:00:00","TTRACE","FARMER","IODINE",,"4ml",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
63,84,"12/09/07 00:00:00","T_INTR","FARMER","SPEC F",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
64,85,"03/15/07 00:00:00","T_META","FARMER","MAGNES",,"Ca/Mg",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
65,85,"03/19/07 00:00:00","T_ANTB","FARMER","PENSA",,"20ml Mylipen",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
66,85,"05/12/07 00:00:00","TTRACE","FARMER","IODINE",,"4ml",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
67,85,"02/05/08 00:00:00","T_DCT","FARMER","ORB DC",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
68,86,"05/12/07 00:00:00","TTRACE","FARMER","IODINE",,"4ml",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
69,86,"06/24/07 00:00:00","T_HORM","VET","PROSTA",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
70,86,"02/05/08 00:00:00","T_DCT","FARMER","ORB DC",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
71,88,"05/12/07 00:00:00","TTRACE","FARMER","IODINE",,"4ml",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
72,88,"02/05/08 00:00:00","T_DCT","FARMER","ORB DC",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
73,89,"05/12/07 00:00:00","TTRACE","FARMER","IODINE",,"4ml",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
74,89,"08/14/07 00:00:00","T_ANTB","FARMER","PENSA",,"20ml Mylipen",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
75,90,"05/12/07 00:00:00","TTRACE","FARMER","IODINE",,"4ml",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
76,90,"02/05/08 00:00:00","T_DCT","FARMER","ORB DC",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
77,91,"03/28/07 00:00:00","T_INTR","FARMER","SPEC F",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
78,91,"05/12/07 00:00:00","TTRACE","FARMER","IODINE",,"4ml",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
79,91,"08/03/07 00:00:00","T_ANTB","FARMER","PENSA",,"20ml Mylipen",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
80,91,"02/05/08 00:00:00","T_DCT","FARMER","ORB DC",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
81,92,"05/12/07 00:00:00","TTRACE","FARMER","IODINE",,"4ml",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
82,92,"02/05/08 00:00:00","T_DCT","FARMER","ORB DC",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
83,93,"06/23/07 00:00:00","T_INTR","FARMER","SPEC F",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
84,93,"08/19/07 00:00:00","T_INTR","FARMER","SPEC F",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
85,94,"05/12/07 00:00:00","TTRACE","FARMER","IODINE",,"4ml",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
86,94,"01/15/08 00:00:00","T_DCT","FARMER","ORB DC",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
87,95,"03/19/07 00:00:00","T_META","FARMER","CALCUM",,"Cal/Mag",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
88,95,"05/12/07 00:00:00","TTRACE","FARMER","IODINE",,"4ml",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
89,95,"08/12/07 00:00:00","T_ANTB","FARMER","PENSA",,"20ml Mylipen",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
90,95,"02/05/08 00:00:00","T_DCT","FARMER","ORB DC",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
91,96,"04/08/08 00:00:00","T_INTR","FARMER","SPEC F",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
92,96,"04/09/08 00:00:00","T_META","FARMER","CALCUM",,"2 bottles",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
93,96,"05/11/07 00:00:00","T_HORM","VET","PROSTA",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
94,96,"05/11/07 00:00:00","TTRACE","VET","IODINE",,"Inter-uterine",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
95,96,"05/12/07 00:00:00","TTRACE","FARMER","IODINE",,"4ml",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
96,96,"02/05/08 00:00:00","T_DCT","FARMER","ORB DC",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
97,96,"03/24/08 00:00:00","T_CLVI","FARMER","F IND",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
98,96,"02/04/07 00:00:00","T_INTR","FARMER","SPEC F",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
99,97,"05/12/07 00:00:00","TTRACE","FARMER","IODINE",,"4ml",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
100,97,"06/24/07 00:00:00","T_HORM","VET","PROSTA",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
101,97,"08/07/07 00:00:00","T_ANTB","FARMER","PENSA",,"20ml Mylipen",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
102,97,"02/05/08 00:00:00","T_DCT","FARMER","ORB DC",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
103,98,"05/12/07 00:00:00","TTRACE","FARMER","IODINE",,"4ml",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
104,98,"02/05/08 00:00:00","T_DCT","FARMER","ORB DC",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
105,99,"05/12/07 00:00:00","TTRACE","FARMER","IODINE",,"4ml",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
106,99,"01/15/08 00:00:00","T_DCT","FARMER","ORB DC",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
107,99,"02/04/07 00:00:00","T_INTR",,"SPEC F",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
108,100,"05/12/07 00:00:00","TTRACE","FARMER","IODINE",,"4ml",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
109,100,"02/05/08 00:00:00","T_DCT","FARMER","ORB DC",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
110,100,"03/04/07 00:00:00","T_ANTB","FARMER","PENSA",,"20ml Mylipen",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
111,101,"07/15/08 00:00:00","TVACCI","FARMER","LEPTO",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
112,101,"07/29/08 00:00:00","TTRACE","FARMER","SELEN",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
113,101,"09/23/08 00:00:00","T_INTR","FARMER","SPEC F",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
114,101,"05/12/07 00:00:00","TTRACE","FARMER","IODINE",,"4ml",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
115,101,"02/05/08 00:00:00","T_DCT","FARMER","ORB DC",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
116,102,"05/12/07 00:00:00","TTRACE","FARMER","IODINE",,"4ml",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
117,102,"06/24/07 00:00:00","T_HORM","VET","PROSTA",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
118,102,"02/05/08 00:00:00","T_DCT","FARMER","ORB DC",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
119,102,"03/24/08 00:00:00","T_CLVI","FARMER","F IND",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
120,103,"07/15/08 00:00:00","TVACCI","FARMER","LEPTO",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
121,103,"07/29/08 00:00:00","TTRACE","FARMER","SELEN",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
122,103,"10/21/08 00:00:00","T_HORM","FARMER","CIDR",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
123,103,"03/11/07 00:00:00","T_ANTB","FARMER","PENSA",,"20ml Mylipen",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
124,103,"05/12/07 00:00:00","TTRACE","FARMER","IODINE",,"4ml",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
125,104,"04/26/08 00:00:00","T_ANTB","FARMER","PENSA",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
126,104,"06/07/08 00:00:00","T_INTR","FARMER","SPEC F",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
127,104,"07/15/08 00:00:00","TVACCI","FARMER","LEPTO",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
128,104,"05/11/07 00:00:00","T_META","FARMER","CALCUM",,"skin and vein",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
129,104,"05/12/07 00:00:00","TTRACE","FARMER","IODINE",,"4ml",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
130,104,"06/24/07 00:00:00","T_HORM","VET","PROSTA",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
131,105,"07/15/08 00:00:00","TVACCI","FARMER","LEPTO",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
132,105,"07/29/08 00:00:00","TTRACE","FARMER","SELEN",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
133,105,"10/21/08 00:00:00","T_HORM","FARMER","CIDR",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
134,106,"03/24/07 00:00:00","T_INTR","FARMER","SPEC F",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
135,106,"05/12/07 00:00:00","TTRACE","FARMER","IODINE",,"4ml",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
136,106,"01/15/08 00:00:00","T_DCT","FARMER","ORB DC",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
137,107,"07/15/08 00:00:00","TVACCI","FARMER","LEPTO",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
138,107,"07/29/08 00:00:00","TTRACE","FARMER","SELEN",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
139,107,"02/05/08 00:00:00","T_DCT","FARMER","ORB DC",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
140,108,"07/15/08 00:00:00","TVACCI","FARMER","LEPTO",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
141,108,"07/29/08 00:00:00","TTRACE","FARMER","SELEN",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
142,108,"10/21/08 00:00:00","T_HORM","FARMER","CIDR",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
143,108,"05/12/07 00:00:00","TTRACE","FARMER","IODINE",,"4ml",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
144,109,"07/15/08 00:00:00","TVACCI","FARMER","LEPTO",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
145,109,"07/29/08 00:00:00","TTRACE","FARMER","SELEN",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
146,109,"05/05/07 00:00:00","T_META","FARMER","CALCUM",,"Under skin",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
147,109,"05/08/07 00:00:00","T_ANTB","FARMER","PENSA",,"20ml Mylipen",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
148,109,"05/12/07 00:00:00","TTRACE","FARMER","IODINE",,"4ml",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
149,109,"03/24/08 00:00:00","T_CLVI","FARMER","F IND",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
150,110,"07/15/08 00:00:00","TVACCI","FARMER","LEPTO",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
151,110,"07/29/08 00:00:00","TTRACE","FARMER","SELEN",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
152,110,"10/21/08 00:00:00","T_HORM","FARMER","CIDR",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
153,110,"05/12/07 00:00:00","TTRACE","FARMER","IODINE",,"4ml",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
154,111,"07/15/08 00:00:00","TVACCI","FARMER","LEPTO",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
155,111,"07/29/08 00:00:00","TTRACE","FARMER","SELEN",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
156,111,"08/07/08 00:00:00","T_ANTB","FARMER","PENSA",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
157,111,"01/14/09 00:00:00","T_DCT","FARMER","ORB DC",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
158,111,"04/27/07 00:00:00","T_INTR","FARMER","SPEC F",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
159,111,"05/03/07 00:00:00","T_INTR","FARMER","SPEC F",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
160,111,"05/12/07 00:00:00","TTRACE","FARMER","IODINE",,"4ml",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
161,111,"01/15/08 00:00:00","T_DCT","FARMER","ORB DC",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
162,112,"07/15/08 00:00:00","TVACCI","FARMER","LEPTO",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
163,112,"07/29/08 00:00:00","TTRACE","FARMER","SELEN",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
164,112,"10/21/08 00:00:00","T_HORM","FARMER","CIDR",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
165,112,"05/12/07 00:00:00","TTRACE","FARMER","IODINE",,"4ml",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
166,113,"05/12/07 00:00:00","TTRACE","FARMER","IODINE",,"4ml",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
167,114,"07/15/08 00:00:00","TVACCI","FARMER","LEPTO",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
168,114,"07/29/08 00:00:00","TTRACE","FARMER","SELEN",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
169,114,"01/14/09 00:00:00","T_DCT","FARMER","ORB DC",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
172,114,"05/12/07 00:00:00","TTRACE","FARMER","IODINE",,"4ml",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
173,115,"07/15/08 00:00:00","TVACCI","FARMER","LEPTO",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
174,115,"07/29/08 00:00:00","TTRACE","FARMER","SELEN",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
175,115,"10/21/08 00:00:00","T_HORM","FARMER","CIDR",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
176,115,"05/12/07 00:00:00","TTRACE","FARMER","IODINE",,"4ml",,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
177,115,"06/24/07 00:00:00","T_HORM","VET","PROSTA",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
178,115,"01/15/08 00:00:00","T_DCT","FARMER","ORB DC",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
179,116,"07/15/08 00:00:00","TVACCI","FARMER","LEPTO",,,,,,,,,,,,,0,,,,,0,0,0,0,,"08/19/06 00:00:00",
