short,long,Alias,AliasPDA,notes,Country,inMin,LICCode,CodeFavourite,HistoricCode,CodeDescription,CodeID
"AGE","Age",,,,,,,0,0,,205
"AGEANA","Age Analysis",,,,,,,0,0,,206
"AGEDSC","Age and DSC",,,"Age and Days Calved Analysis",,,,0,0,,207
"AGEGP","Age Group",,,,,,,0,0,,208
"AGEINDAYS","Age in Days",,,,,,,0,0,,209
"AGESUM","Age Summary",,,,,,,0,0,,210
"AI","AI Mating",,,,,,,0,0,,211
"ALL","(All)",,,,,,,0,0,,212
"ALTCOWNUM","Renumber Animal",,"Renumber","100.00.168 KJS changed",,,,0,0,,213
"AM","am",,,,,,,0,0,,214
"AMPUTA","Amputation",,,,,,,0,0,,215
"ANAL","Analysis",,,,,,,0,0,,216
"ANS","Anoestrus, no structures present",,,"30012001 GRA Changed",,,,0,0,,217
"APLAS","Aplasia",,,,,,,0,0,,218
"ARTHRDEG","Arthritis, degenerative",,,,,,"AR",0,0,,219
"ARTHRI","Arthritis",,,,,,,0,0,,1
"ARTHRITIS","Arthritis",,,"13082000 GRA Added",,,"AR",0,0,,2
"ARTHRSEPT","Arthritis, septic",,,,,,"AR",0,0,,3
"ARTHRUNSPEC","Arthritis, unspecified",,,"24042001 GRA Added",,,"AR",0,0,,4
"ASCALV","Assisted calving",,,"also cull reason",,,"AS",0,0,,5
"AUTBEF","Autumn Beef",,,,,,,0,0,,6
"AUTBUL","Autumn Bull",,,,,,,0,0,,7
"AUTCOW","Autumn Cow",,,,,,,0,0,,8
"AUTHFR","Autumn Heifer",,,,,,,0,0,,9
"AUTSTR","Autumn Steer",,,,,,,0,0,,10
"AWF","Anoestrus, structures present",,,"30012001 GRA Changed",,,,0,0,,11
"BACTERIOL","Bacteriology",,,,,,,0,0,,12
"BADTYPE","Unsuitable type",,,,,,"TY",0,0,,13
"BEEF","Beef",,,,,,,0,0,,14
"BEHAV","Temperament",,,,,,"TE",0,0,,15
"BI","Breeding Index",,,,,,,0,0,,16
"BIOCHEM","Biochemistry",,,,,,,0,0,,17
"BIRTH","Birth Date",,,,,,,0,0,,18
"BITINGFLIES","Biting flies",,,"08102000 GRA Added",,,"LC",0,0,,19
"BITINGLICE","Biting lice",,,"08102000 GRA Added",,,"LC",0,0,,20
"BLACKLEG","Blackleg",,,,,,"BK",0,0,,21
"BLEFT","Left Back",,,,,,"LR",0,0,,22
"BLINDQ","Blind Quarter",,,"20112000 GRA Added",,,"BQ",0,0,,23
"BLOAT","Bloat, frothy",,,,,,"BL",0,0,,24
"BLOATGRAIN","Bloat, grain",,,,,,"BL",0,0,,25
"BLOATREM","Bloat",,,,,,"BL",0,0,,26
"BLOATUNSPEC","Bloat, unspecified",,,"24042001 GRA Added",,,"BL",0,0,,27
"BLOOD","Blood sample",,,,,,,0,0,,28
"BOBBIE","Bobbied",,,,,,,0,0,,29
"BORN","Born",,,"30112001 GRA Added",,,,0,0,,777
"BOTULISM","Botulism",,,,,,"OC",0,0,,30
"BREED","Breed",,,,,,,0,0,,31
"BRIGHT","Right Back",,,,,,"RR",0,0,,32
"BRUCELLOSIS","Brucellosis",,,"also in cull",,,"BR",0,0,,33
"BRUCELLOSISCULL","Brucellosis",,,"20112000 GRA Added",,,"OC",0,0,,34
"BRUISE","Bruising",,,,,,"BS",0,0,,35
"BULL","Bull",,,,,,,0,0,,36
"BULLIN","Bull In",,,"03102000 GRA renamed from Join S",,,,0,0,,37
"BULLOUT","Bull Out",,,"03102000 GRA renamed from Join E",,,,0,0,,38
"BVD","BVD (Bovine virus diarrhoea)",,,"13082000 GRA Added",,,"BV",0,0,,39
"CAE","CAE (Caprine Arthritis Encephalitis)",,,"08102000 GRA Added",,,"CA",0,0,,40
"CAESAR","Caesarian",,,,,,,0,0,,41
"CALF","Calf",,,,,,,0,0,,42
"CALVDIS","Calving disorder, unspecified",,,"30082000 GRA Added",,,"CD",0,0,,43
"CALVED","Calved",,,,,,,0,0,,44
"CALVING","Calving",,,,,,,0,0,,45
"CAMPYLO","Campylobacter",,,,,,,0,0,,46
"CANCER","Cancer",,,,,,"CN",0,0,,47
"CANCEREYE","Cancer eye",,,,,,"CE",0,0,,48
"CANCERUNSPEC","Cancer, unspecified",,,"30082000 GRA Added",,,"CN",0,0,,49
"CARDIOMISC","Cardiovascular disorder, unspecified",,,"05092000 GRA Added",,,"CV",0,0,,50
"CASLICKS","Caslicks",,,,,,,0,0,,51
"CCTST","Test Cell Count",,,,,,,0,0,,52
"CDEANA","Code Analysis",,,,,,,0,0,,53
"CELLS",,,,"Cell Count (000)",,,,0,0,,54
"CERVIC","Cervicitis",,,,,,,0,0,,55
"CHECK","Check",,,,,,,0,0,,56
"CLAVULOX","Clavulox",,,,,,,0,0,,57
"CLFFTE","Calf Fate",,,,,,,0,0,,58
"CLFLID","Calf Lifetime ID",,,,,,,0,0,,59
"CLFSEX","Calf Sex",,,,,,,0,0,,60
"CLVBD","Brain damaged/retarded/spastic",,,"13082000 GRA Added",,,"BD",0,0,,61
"CLVBI","Bowel or intestine abnormality",,,"13082000 GRA Added",,,"BI",0,0,,62
"CLVBL","Calf blind",,,"13082000 GRA Added",,,"BL",0,0,,63
"CLVBR","Breathing difficulties",,,"13082000 GRA Added",,,"BR",0,0,,64
"CLVCL","Calf too large",,,"13082000 GRA Added",,,"CL",0,0,,65
"CLVCON","Calving to Conception",,,"30082000 GRA Fixed",,,,0,0,,66
"CLVCP","Cleft palate",,,"13082000 GRA Added",,,"CP",0,0,,67
"CLVD2","Born dead, Calving Difficulty",,,"13082000 GRA Added",,,"D2",0,0,,68
"CLVD3","Died within 1-4 days, Calving",,,"13082000 GRA Added",,,"D3",0,0,,69
"CLVD4","Died after 4 days, Calving",,,"13082000 GRA Added",,,"D4",0,0,,70
"CLVD5","Died, not calving difficulty",,,"13082000 GRA Added",,,"D5",0,0,,71
"CLVDAT","Calving Date",,,,,,,0,0,,72
"CLVDR","Difficult to rear, won't drink",,,"13082000 GRA Added",,,"DR",0,0,,73
"CLVEC","Estimated calving date",,,"13082000 GRA Added",,,"EC",0,0,,74
"CLVET","Extra teats",,,"13082000 GRA Added",,,"ET",0,0,,75
"CLVHA","Hernia",,,"13082000 GRA Added",,,"HA",0,0,,76
"CLVIN","Induced calf",,,"13082000 GRA Added",,,"IN",0,0,,77
"CLVMF","Mulefoot",,,"13082000 GRA Added",,,"MF",0,0,,78
"CLVMM","Mummified calf",,,"13082000 GRA Added",,,"MM",0,0,,79
"CLVMP","Malpresentation/breech",,,"13082000 GRA Added",,,"MP",0,0,,80
"CLVOD","Other deformity, Limbs",,,"13082000 GRA Added",,,"OD",0,0,,81
"CLVPAR","Calving paralysis",,,"13082000 GRA Fixed",,,"CP",0,0,,82
"CLVPL","Paralysed legs",,,"13082000 GRA Added",,,"PL",0,0,,83
"CLVPO","Polled",,,"13082000 GRA Added",,,"PO",0,0,,84
"CLVPR","Premature calf",,,"13082000 GRA Added",,,"PR",0,0,,85
"CLVRC","Refer to comment",,,"13082000 GRA Added",,,"RC",0,0,,86
"CLVRD","Red factor",,,"13082000 GRA Added",,,"RD",0,0,,87
"CLVS1","Calving to 1st Service",,,"30082000 GRA Fixed",,,,0,0,,88
"CLVSB","Still born",,,"13082000 GRA Added",,,"SB",0,0,,89
"CLVSC","Scours",,,"13082000 GRA Added",,,"SC",0,0,,90
"CLVSD","Spinal deformity",,,"13082000 GRA Added",,,"SD",0,0,,91
"CLVSJ","Short jaw",,,"13082000 GRA Added",,,"SJ",0,0,,92
"CLVSW","Swollen joints",,,"13082000 GRA Added",,,"SW",0,0,,93
"CLVTD","Tail deformity/no tail",,,"13082000 GRA Added",,,"TD",0,0,,94
"CLVTF","Twisted feet",,,"13082000 GRA Added",,,"TF",0,0,,95
"CLVTYP","Calving Type",,,,,,,0,0,,96
"CLVWS","Calf weak and/or small",,,"13082000 GRA Added",,,"WS",0,0,,97
"COCCIDIOSIS","Coccidiosis",,,,,,"IL",0,0,,98
"CODEANALYSIS","Code Analysis",,,,,,,0,0,,99
"CODEGP","Code Group",,,,,,,0,0,,100
"CODENOFAV","<No Favourites Defined>",,,"21112002 GRA Added",,,,0,0,,787
"COLIBACILLOS","Colibacillosis",,,,,,"DI",0,0,,101
"COMMENTS","Comments",,,,,,,0,0,,102
"COMPARED","Compared",,,,,,,0,0,,103
"CONTRL","Control",,,,,,,0,0,,104
"CORONAV","Corona virus",,,"01102000 GRA Added",,,"DI",0,0,,105
"COW","Adult Cow",,,,,,,0,0,,106
"COWPADBWSTRING","String containing BW label",,,"10112001 GRA Added",,,,0,0,,772
"COWPADCALFPREFIX","Calf Creation ID prefix",,,"27052002 GRA Added",,,,0,0,,783
"COWPADCOUNTRY","Couuntry setting used for CowPAD",,,,,,,0,0,,107
"COWPADEXPIRY","CowPAD Expiry Date",,,"15052002 GRA Added",,,,0,0,,781
"COWPADLICTYPE","CowPAD licence type",,,"15052002 GRA Added",,,,0,0,,780
"COWPADLWSTRING","String containing LW label",,,"10112001 GRA Added",,,,0,0,,774
"COWPADNEWPDB","Y",,,"03062001 GRA Added",,,,0,0,,108
"COWPADNODATA","Display nothing in CowPAD",,,"21052001 GRA Aded",,,,0,0,,109
"COWPADPSMDAYS","PSM days",,,"30102002 GRA Added",,,,0,0,,786
"COWPADPSMTYPE","PSM Date type",,,"30102002 GRA Added",,,,0,0,,785
"COWPADPWSTRING","String containing PW label",,,"10112001 GRA Added",,,,0,0,,773
"COWPADREADONLY","CowPAD read-only flag",,,"15052002 GRA Added",,,,0,0,,782
"COWPADUSERID","Palm Pilot UserID",,,"15052002 GRA Added",,,,0,0,,779
"COWPADUSERNAME","Palm Pilot username",,,"15052002 GRA Added",,,,0,0,,778
"CRACKAB","Wall crack, abaxial",,,,,,"WC",0,0,,110
"CRACKAX","Wall crack, axial",,,,,,"WC",0,0,,111
"CRACKUNSPEC","Wall crack, unspecified",,,"24042001 GRA Added",,,"WC",0,0,,112
"CRYPTOSP","Cryptosporidiosis",,,"01102000 GRA Added",,,"DI",0,0,,113
"CS","Condition Score",,,,,,,0,0,,114
"CSOLD","Sold",,,"Code used for calf fate. see also SOLD",,,,0,0,,115
"CULLED","Culled (works)",,,,,,,0,0,,116
"CYCCLP","Cycling, dioestrus",,,"30012001 GRA Changed",,,,0,0,,117
"CYCNS","Cycling, no structures present",,,"30012001 GRA Changed",,,,0,0,,118
"CYCOD","Cycling, metoestrus",,,"30012001 GRA Changed",,,,0,0,,119
"CYCOH","Cycling, oestrus",,,"30012001 GRA Changed",,,,0,0,,120
"CYCPRO","Cycling, proestrus",,,"30012001 GRA Changed",,,,0,0,,121
"CYSTFOL","Cyst, follicular",,,,,,,0,0,,122
"CYSTLUTEAL","Cyst, luteal",,,,,,,0,0,,123
"CYSTOV","Cystic ovary",,,,,,,0,0,,124
"DAIRY","For dairying",,,,,,"OC",0,0,,125
"DAMLID","Dam Lifetime ID",,,,,,,0,0,,126
"DAMNA","Dam Name",,,,,,,0,0,,127
"DAMNO","Dam Number",,,,,,,0,0,,128
"DATE","Date",,,,,,,0,0,,129
"DAY","Day",,,,,,,0,0,,130
"DDUNC","Date Unchanged",,,,,,,0,0,,131
"DDUNK","Due Date Unknown",,,,,,,0,0,,132
"DEFICCO","Cobalt Deficiency",,,,,,"CO",0,0,,133
"DEFICCU","Copper Deficiency",,,,,,"CU",0,0,,134
"DEFICNA","Sodium Deficiency",,,"01102000 GRA Added",,,"TC",0,0,,135
"DEFICP","Phosphate Deficiency",,,"01102000 GRA Added",,,"TC",0,0,,136
"DEFICSE","Selenium Deficiency",,,,,,"SD",0,0,,137
"DEFINITE","Definite",,,"01102001 GRA Added","AUS",,,0,0,,138
"DEFUNSPEC","Trace element deficiency, unspecified",,,"30082000 GRA Added",,,"TC",0,0,,139
"DEHORN","Dehorn",,,,,,,0,0,,140
"DERMATO","Dermatophylosis",,,"08102000 GRA Added",,,"SN",0,0,,141
"DIED","Died",,,,,,,0,0,,142
"DIFCLV","Calving trouble",,,,,,"CT",0,0,,143
"DIM","Days in Milk",,,,,,,0,0,,144
"DISCHA","Vaginal discharge",,,"13082000 GRA Fixed",,,"RP",0,0,,145
"DISEAS","Disease",,,,,,,0,0,,146
"DISLOCATION","Dislocation",,,,,,"DS",0,0,,147
"DLAMENESS","Lame",,,"13082000 GRA Added",,,"LM",0,0,,148
"DLAMEWCRK","Wall Crack",,,"18082000 GRA Added",,,"WC",0,0,,149
"DMISCABOMAS","Abomassal disorders",,,"05092000 GRA Added",,,"AM",0,0,,150
"DMISCBLOAT","Bloat",,,"24082000 GRA Added",,,"BL",0,0,,151
"DMISCGASTRO","Intestinal disorders",,,"18082000 GRA Added",,,"IL",0,0,,152
"DMISCILL","Severe ill Thrift/Weight Loss",,,"24082000 GRA Added",,,"IT",0,0,,153
"DMISCILLUNSPEC","Severe ill Thrift, unspecified",,,"24082000 GRA Added",,,"IT",0,0,,154
"DMISCLIVER","Liver disorders",,,"04092000 GRA Added",,,"LV",0,0,,155
"DMISCLIVERUNSPEC","Liver disorder, unspecified",,,"24042001 GRA Added",,,"LV",0,0,,156
"DMISCMOUTH","Mouth disorders",,,"01102000 GRA Added",,,"MO",0,0,,157
"DMISCOTHER","Other conditions",,,"05092000 GRA Added",,,"OC",0,0,,158
"DMISCOTHERUNSPEC","Other conditions, unspecified",,,"05092000 GRA Added",,,"OC",0,0,,159
"DMISCRENAL","Renal disorder, unspecified",,,"24082000 GRA Added",,,"RE",0,0,,160
"DMISCRESP","Respiratory disorders",,,"18082000 GRA Added",,,"RD",0,0,,161
"DMISCRUMEN","Rumen disorder, unspecified",,,"05092000 GRA Added",,,"RU",0,0,,162
"DMISCSCOUR","Diarrhoea/Scours",,,"24082000 GRA Added",,,"DI",0,0,,163
"DMISCSICK","Sick, unspecified",,,"24082000 GRA Added",,,"SI",0,0,,164
"DODTE","Drying Off Date",,,,,,,0,0,,165
"DOUBT","Some doubt",,,"01102001 GRA Added","AUS",,,0,0,,166
"DOWN","Downer cow",,,,,,"DC",0,0,,167
"DRAINABSCESS","Drain abscess",,,,,,,0,0,,220
"DRY","Dry",,,,,,,0,0,,221
"DRYCOW","Dry Cow",,,,,,,0,0,,222
"DRYOFF","Dry Off",,,,,,,0,0,,223
"DSC","Days Calved",,,,,,,0,0,,224
"DSCANA","DSC Analysis",,,,,,,0,0,,225
"DSKINLICE","Lice",,,"08102000 GRA Added",,,"LC",0,0,,226
"DTEANA","Date Analysis",,,,,,,0,0,,227
"DUEDAT","Due Calving Date",,,,,,,0,0,,228
"DUESIR","Due Sire",,,,,,,0,0,,229
"EARLY","Too Early",,,,,,,0,0,,230
"EBL","EBL (Enzootic bovine leukosis)",,,"03082000 GRA Fixed",,,"EB",0,0,,231
"EC","Eczema, unspecified",,,"24082000 GRA Changed",,,"EC",0,0,,232
"ECZEMA","Facial eczema",,,"24082000 GRA Changed",,,"FE",0,0,,233
"EDIT","Edit a code",,,,,,,0,0,,234
"EDITED","Edited",,,,,,,0,0,,235
"EL","End Lactation",,,,,,"EL",0,0,,236
"EMPTY","Empty",,,,,,,0,0,,237
"ENDO","Endometritis",,,,,,,0,0,,238
"ENTER","Create Animal",,,"100.00.168 KJS changed",,,,0,0,,239
"ENTER_EVENTDISPLAY","Entered Herd",,,"100.00.168 KJS created",,,,0,0,,784
"ENTERITIS","Enteritis",,,,,,"DI",0,0,,240
"ENTEROTOX","Enterotoxaemia",,,,,,"OC",0,0,,241
"EPHEMERALFEV","Ephemeral fever",,,,,,"OC",0,0,,242
"EPISIOTOMY","Episiotomy",,,,,,,0,0,,243
"ESCAPE","Cow Escaped",,,,,,,0,0,,244
"ESHOCK","Electric Shock",,,"01102000 GRA Added",,,"OC",0,0,,245
"ET","Embryo Transfer",,,"21052004 GRA Added",,,,0,0,,789
"EXPCBI","Expected Calf BI",,,,,,,0,0,,246
"EYEINJURY","Eye injury",,,"13082000 GRA Added",,,"EY",0,0,,247
"FAECES","Faeces sample",,,,,,,0,0,,248
"FARMER","Farmer",,,,,,,0,0,,249
"FARMOFF","Off Farm",,,"01102001 GRA Added","AUS",,,0,0,,250
"FARMON","On Farm",,,"01102001 GRA Added","AUS",,,0,0,,251
"FAT","Fat",,,,,,,0,0,,252
"FATLTD","LTD Fat",,,,,,,0,0,,253
"FATPC","Test Fat %",,,"Test Fat %",,,,0,0,,254
"FATPT","Prev Tot Fat",,,,,,,0,0,,255
"FATTOT","Total Fat",,,,,,,0,0,,256
"FATTST","Test Fat",,,,,,,0,0,,257
"FERTST","Fertility Status",,,,,,,0,0,,258
"FEVER","Fever",,,,,,"FV",0,0,,259
"FHDTE","First Heat Date",,,,,,,0,0,,260
"FIRSTINDUCT","First induction",,,"01112000 GRA Replaced",,,,0,0,,261
"FLEFT","Left Front",,,,,,"LF",0,0,,262
"FLTDAV",,,,"Fat LTD Average (kg)",,,,0,0,,263
"FLTDT",,,,"Fat LTD Total (kg)",,,,0,0,,264
"FM","Farm Management",,,,,,"FM",0,0,,265
"FMUMMY","Mummified foetus",,,,,,"RP",0,0,,266
"FOETOTOMY","Foetotomy",,,,,,,0,0,,267
"FOETUS","Foetus sample",,,,,,,0,0,,268
"FOOTRIM","Foot trim",,,,,,,0,0,,269
"FORBEEF","For beef",,,,,,"OC",0,0,,270
"FORGOT","Forgot",,,,,,,0,0,,271
"FPLTDA",,,,"Fat and Protein LTD Average (kg)",,,,0,0,,272
"FPLTDT",,,,"Fat and Protein LTD Total (kg)",,,,0,0,,273
"FPPC",,,,"Test Fat and Protein %",,,,0,0,,274
"FPTSTA",,,,"Fat and Protein Test Average (kg)",,,,0,0,,275
"FPTSTT",,,,"Fat and Protein Test Total (kg)",,,,0,0,,276
"FRACTURE","Fracture/Broken Leg",,,"04092000 GRA Fixed",,,"FC",0,0,,277
"FREQ","Frequency (cows)",,,"Frequency (number of cows)",,,,0,0,,278
"FREQPC","Freqency Percent",,,"Frequency Percent ( of cows)",,,,0,0,,279
"FRESH","Fresh",,,"01102001 GRA Added","AUS",,,0,0,,280
"FRIGHT","Right Front",,,,,,"RF",0,0,,281
"FROZEN","Frozen",,,"01102001 GRA Added","AUS",,,0,0,,282
"FSVDTE","First Mate Date",,,,,,,0,0,,283
"FTC","Failure to conceive",,,"13082000 GRA Fixed",,,"OC",0,0,,284
"FTROT","Footrot",,,,,,"FR",0,0,,285
"FTSTAV",,,,"Fat Test Average (kg)",,,,0,0,,286
"FTSTT",,,,"Fat Test Total (kg)",,,,0,0,,287
"FUNGAL","Fungal",,,,,,,0,0,,288
"GALLILC","Gallimycin",,,,"NZIRI",,,0,0,,289
"GEOSCC","Geo. Mean Cells",,,,,,,0,0,,290
"GESTATION","Gestation",,,"18112001 GRA Added",,,,0,0,,776
"GRAINPOIS","Grain poisoning",,,"30082000 GRA renamed",,,"GR",0,0,,291
"GRAZOF","Graze Off",,,,,,,0,0,,292
"GRAZON","Graze On",,,,,,,0,0,,293
"GSTAG","Magnesium/Grass staggers",,,"24082000 GRA Renamed",,,"MS",0,0,,294
"GUTOBSRTUCT","Obstruction",,,"01102000 GRA Added",,,"IL",0,0,,295
"HA","Hectares",,,"30012001 GRA Added",,,,0,0,,296
"HAEMATOL","Haematology",,,,,,,0,0,,297
"HAIR","Hair Sample",,,,,,,0,0,,298
"HARDWARE","Hardware disease",,,,,,"IL",0,0,,299
"HCELLS","Cell Count",,,"Bulk Milk Cell Count (000)",,,,0,0,,300
"HEAT","Heat",,,,,,,0,0,,301
"HEIFER","Mated Heifer",,,,,,,0,0,,302
"HEPATNECROT","Heptitis, necrotic",,,,,,"LV",0,0,,303
"HEPATUNSPEC","Heptitis, unspecified",,,"13082000 GRA Fixed",,,"LV",0,0,,304
"HERD1","Herd 1",,,,,,,0,0,,305
"HERD2","Herd 2",,,,,,,0,0,,306
"HERDCODE","Herd Code",,,"18052001 GRA Added",,,,0,0,,307
"HERDOWNER","Herd Owners name",,,"18052001 GRA Added",,,,0,0,,308
"HFAT1","Fat/Period (kg)",,,"Fat/Period (kg)",,,,0,0,,309
"HFAT2","Fat/Day (kg)",,,"Fat/Day (kg)",,,,0,0,,310
"HFAT3","Fat/Cow/Day (kg)",,,"Fat/Cow/Day (kg)",,,,0,0,,311
"HFAT4","Fat/Hec/Day (kg)",,,"Fat/Hectare/Day (kg)",,,,0,0,,312
"HFATPC","Fat (%)",,,"Fat % for Period",,,,0,0,,313
"HFP1","FP/Period",,,"Fat and Protein/Period (kg)",,,,0,0,,314
"HFP2","FP/Day",,,"Fat and Protein/Day (kg)",,,,0,0,,315
"HFP3","FP/Cow/Day",,,"Fat and Protein/Cow/Day (kg)",,,,0,0,,316
"HFP4","FP/Hec/Day",,,"Fat and Protein/Hectare/Day (kg)",,,,0,0,,317
"HFPKG","Fat and Pro (kg)",,,"Fat and Protein (kg)",,,,0,0,,318
"HFPPC","Fat and Pro (kg)",,,"Fat and Protein % for Period",,,,0,0,,319
"HFR","Heifer",,,,,,,0,0,,320
"HGT","Height",,,,,,,0,0,,321
"HIGHCELL","High cell count",,,"10102000 GRA Changed",,,"SC",0,0,,322
"HISTOGRAM","Histogram",,,,,,,0,0,,323
"HISTOPATH","Histopathology",,,,,,,0,0,,324
"HLTHANA","Health Analysis",,,,,,,0,0,,325
"HMILK1","Milk/Period (l)",,,"Milk/Period (l)",,,,0,0,,326
"HMILK2","Milk/Day (l)",,,"Milk/Day (l)",,,,0,0,,327
"HMILK3","Milk/Cow/Day(l)",,,"Milk/Cow/Day (l)",,,,0,0,,328
"HMILK4","Milk/Hec/Day(l)",,,"Milk/Hectare/Day (l)",,,,0,0,,329
"HPCOWS","Cows Milking",,,"Cows Milking",,,,0,0,,330
"HPFRAT","Prot/Fat Ratio",,,"Protein/Fat Ratio",,,,0,0,,331
"HPROPC","Protein (%)",,,"Protein % for Period",,,,0,0,,332
"HPROT1","Protein/Period",,,"Protein/Period (kg)",,,,0,0,,333
"HPROT2","Protein/Cow",,,"Protein/Cow (kg)",,,,0,0,,334
"HPROT3","Potein/Cow/Day",,,"Protein/Cow/Day (kg)",,,,0,0,,335
"HPROT4","Protein/Hec/Day",,,"Protein/Hectare/Day (kg)",,,,0,0,,336
"HSOLPC","Solids (%)",,,"Milksolids % for Period",,,,0,0,,337
"HSOLS1","Solids/Period",,,"Milksolids/Period (kg)",,,,0,0,,338
"HSOLS2","Solids/Day",,,"Milksolids/Day (kg)",,,,0,0,,339
"HSOLS3","Solids/Cow/Day",,,"Milksolids/Cow/Day (kg)",,,,0,0,,340
"HSOLS4","Solids/Hec/Day",,,"Milksolids/Hectare/Day (kg)",,,,0,0,,341
"HVAL1","Value/Period",,,"Value/Period ($)",,,,0,0,,342
"HVAL2","Value/Cow",,,"Value/Cow ($)",,,,0,0,,343
"HVAL3","Value/Cow/Day",,,"Value/Cow/Day ($)",,,,0,0,,344
"HVAL4","Value/Hec/Day",,,"Value/Hectare/Day ($)",,,,0,0,,345
"HYPOCALCAEM","Hypocalcaemia",,,,,,,0,0,,346
"HYPOTHERMIA","Hypothermia",,,,,,"OC",0,0,,347
"IATROGENIC","Iatrogenic",,,,,,,0,0,,348
"IBR","IBR (Infectious bovine rhinotracheitis)",,,"13082000 GRA Added",,,"IB",0,0,,349
"IGNORE","Ignore",,,,,,,0,0,,350
"IN","Injured",,,,,,"IN",0,0,,351
"INDIGESTION","Indigestion",,,,,,"IG",0,0,,352
"INDIVID","Individuals",,,,,,,0,0,,353
"INDUCE","Induced",,,,,,,0,0,,354
"INERTIA","Uterine inertia",,,,,,,0,0,,355
"INFUSE","Infusion",,,,,,,0,0,,356
"INJURY","Injury",,,,,,"IN",0,0,,357
"JOHNES","Johne's disease",,,"also in cull",,,"JD",0,0,,358
"KETOS","Ketosis/Acidosis",,,"04092000 GRA Fixed",,,"KT",0,0,,359
"LACERATION","Laceration/Cuts",,,"13082000 GRA Added",,,"LA",0,0,,360
"LACT","Lactating",,,,,,,0,0,,361
"LACTNO","Lactation Number",,,,,,,0,0,,362
"LACTST","Lactation Status",,,,,,,0,0,,363
"LALL","All lactations",,,,,,,0,0,,364
"LAME","Lame, unspecified",,,"13082000 GRA Fixed",,,"LM",0,0,,365
"LAMEBACK","Lame, spine",,,"24082000 GRA Changed",,,"LM",0,0,,366
"LAMEFOOT","Lame, foot",,,,,,"LM",0,0,,367
"LAMEREM","Lameness",,,,,,"FT",0,0,,368
"LAMEUPPER","Lame, upper limb",,,"13082000 GRA Fixed",,,"LM",0,0,,369
"LAMINITIS","Laminitis",,,,,,"LN",0,0,,370
"LASTCALFID","Last Calf ID",,,"18052001 GRA Added",,,,0,0,,371
"LASTCOWPADEXPORTDATE","Last CowPAD Export Date",,,"18052001 GRA Added",,,,0,0,,372
"LASTEVENTKEY","Last Event Key",,,"18052001 GRA Added",,,,0,0,,373
"LASTSERVICE","Last Service",,,"01112000 GRA replaced",,,,0,0,,374
"LATECA","Late calver",,,,,,"LC",0,0,,375
"LCRITD","Including a date",,,,,,,0,0,,376
"LCUR","Most recent",,,,,,,0,0,,377
"LDA","Abomasal displacement, left",,,,,,"AM",0,0,,378
"LEOLC","Leo Yellow",,,,"NZIRI",,,0,0,,379
"LEPTO","Leptospirosis",,,"also in vaccination",,,"LS",0,0,,380
