CowKey,Herd,CowExternalKey,LifetimeID,PedigreeNumber,ElectronicID,RemovalDate,BirthDate,BoughtDate,ToCullDate,LactationNumber,LactNumberEst,BW,BWReliability,Name,Breed,Sire,Dam,DamExternalKey,comment,InitialLactationStatus,InitialDueSire,InitialDueDate,RemovalFate,RemovalReason1,RemovalReason2,RemovalReason3,RemovalComment,StockClass,ABVFat,ABVProtein,ABVMilk,TransferID,PW,CowNumber,PWRel,ExpCalfPW,ExpCalfPWRel
11,2669680,13992637,JKRP-96-65,,,16/09/1997,6/09/1996,,,,FALSE,21,25,,F,662991,XVX-88-39        ,8170667,,,,,SOLD,,,,,CALF,,,,,,96065,,,
12,2669680,13992638,JKRP-96-51,,,16/09/1997,27/08/1996,,,,FALSE,22,27,,F,662991,XVX-92-8         ,10489347,,,,,SOLD,,,,,CALF,,,,,,96051,,,
13,2669680,13992639,JKRP-96-54,,,16/09/1997,28/08/1996,,,,FALSE,23,35,,F,662167,XVX-93-37        ,11202217,,,,,SOLD,,,,,CALF,,,,,,96054,,,
14,2669680,13992640,JKRP-96-10,,,23/10/1998,11/08/1996,,,,FALSE,31,13,,F,662014,XVX-90-46        ,8882564, ,,,,CULLED,FTC,,,,CALF,,,,,,7,,,
15,2669680,13992641,JKRP-96-23,,,,17/08/1996,,,2,FALSE,35,46,,F8 J4,662224,XVX-89-40        ,8127110,,,,,,,,,,COW,,,,,61.8,61,60.9,94.8,16.7
16,2669680,13992642,JKRP-96-67,,,9/10/1998,9/09/1996,,,,FALSE,39,27,,F,662991,XVX-92-27        ,10489319,,,,,DIED,UNKNWN,,,,CALF,,,,,,96067,,,
17,2669680,13992643,JKRP-96-66,,,1/05/1999,9/09/1996,,,1,FALSE,33,45,,F,662016,XVX-92-10        ,10489303,,,,,CULLED,NOTPREGNANT,,,,COW,,,,,,255,,,
18,2669680,13992644,JKRP-96-72,,,17/05/1999,12/09/1996,,,1,FALSE,14,44,,F13J1,662016,XVX-93-46        ,11202249,,,,,CULLED,NOTPREGNANT,,,,COW,,,,,,282,,,
19,2669680,13992645,JKRP-96-44,,,,24/08/1996,,,2,FALSE,38,49,,F12J2,662224,XVX-93-53        ,11202212,,,,,,,,,,COW,,,,,62.4,141,62.5,69.9,19.1
20,2669680,13992646,JKRP-96-39,,,16/09/1997,23/08/1996,,,,FALSE,39,32,,F10J2,662167,XVX-89-16        ,8127086,,,,,SOLD,,,,,CALF,,,,,,96039,,,
21,2669680,13992647,JKRP-96-33,,,,20/08/1996,,,2,FALSE,29,32,,F7 J1,,XVX-93-31        ,11202239,,,,,,,,,,COW,,,,,30.8,98,58.6,74.6,15.7
22,2669680,13992648,JKRP-96-20,,,16/09/1997,16/08/1996,,,,FALSE,18,36,,F,662016,XVX-92-11        ,10489300,,,,,SOLD,,,,,CALF,,,,,,96020,,,
23,2669680,14010227,JKRP-96-52,,,,27/08/1996,,,2,FALSE,28,47,,F8 J4,662167,XVX-89-51        ,8127122, ,,,,,,,,,COW,,,,,18.5,174,61.8,77.4,17.6
24,2669680,14010228,JKRP-96-29,,,,18/08/1996,,,2,FALSE,45,49,,F,662014,XVX-90-44        ,8882610, ,,,,,,,,,COW,,,,,56.9,77,62.5,80.1,13.8
25,2669680,14010232,JKRP-96-4,,,16/09/1997,5/08/1996,,,,FALSE,21,9,,F,662991,XVX-88-43        ,8127201,,,,,SOLD,,,,,CALF,,,,,,96004,,,
26,2669680,14010234,JKRP-96-46,,,,26/08/1996,,,2,FALSE,56,49,,F,662167,XVX-93-24        ,11202220, ,,,,,,,,,COW,,,,,78.8,152,62.6,76.2,11.2
27,2669680,14010238,JKRP-96-36,,,,22/08/1996,,,2,FALSE,67,49,,F,662167,XVX-93-58        ,11202225, ,,,,,,,,,COW,,,,,83.8,103,62.5,90.2,14.5
28,2669680,14010240,JKRP-96-9,,,16/09/1997,8/08/1996,,,,FALSE,38,34,,F8 J4,662167,XVX-89-68        ,8127132,,,,,SOLD,,,,,CALF,,,,,,96009,,,
29,2669680,14010241,JKRP-96-40,,,10/09/1998,23/08/1996,,,,FALSE,36,36,,F,662014,XVX-93-20        ,11202207, ,,,,CULLED,MASTREM,,,,CALF,,,,,,129,,,
30,2669680,14010242,JKRP-96-69,,,,10/09/1996,,,2,FALSE,33,47,,F,662016,XVX-92-58        ,10489313,,,,,,,,,,COW,,,,,47.8,280,61.5,69.4,18
31,2669680,14022356,JKRP-96-34,,,,20/08/1996,,,2,FALSE,42,47,,F,662167,XVX-90-1         ,8882586,,,,,,,,,,COW,,,,,23.6,100,60.6,,
32,2669680,14022357,JKRP-96-61,,,,2/09/1996,,,2,FALSE,56,46,,F10J2,662991,XVX-89-61        ,8127135, ,,,,,,,,,COW,,,,,70.8,228,61.9,86.1,14
33,2669680,14022358,JKRP-96-59,,,16/09/1997,31/08/1996,,,,FALSE,38,37,,F,662224,XVX-87-39        ,8127767,,,,,SOLD,,,,,CALF,,,,,,96059,,,
34,2669680,14022359,JKRP-96-19,,,1/05/1999,15/08/1996,,,1,FALSE,50,28,,F,662167,XVX-91-2         ,9637465, ,,,,CULLED,NOTPREGNANT,,,,COW,,,,,,48,,,
35,2669680,14022360,JKRP-96-8,,,16/09/1997,8/08/1996,,,,FALSE,24,9,,F,662167,XVX-93-5         ,11202224,,,,,SOLD,,,,,CALF,,,,,,96008,,,
36,2669680,14022361,JKRP-96-28,,,,18/08/1996,,,2,FALSE,50,47,,F,662167,XVX-92-23        ,10489311, ,,,,,,,,,COW,,,,,71.6,75,60.7,70.6,11
37,2669680,14022362,JKRP-96-49,,,23/08/1998,27/08/1996,,,1,FALSE,32,37,,F,662014,XVX-92-60        ,10489312, ,,,,DIED,DIFCLV,,,,COW,,,,,,154,,,
38,2669680,14022363,JKRP-96-35,,,16/09/1997,21/08/1996,,,,FALSE,15,37,,F,662014,XVX-92-6         ,10489323,,,,,SOLD,,,,,CALF,,,,,,96035,,,
39,2669680,14022364,JKRP-96-64,,,16/09/1997,5/09/1996,,,,FALSE,9,35,,F,662016,XVX-93-23        ,11202242,,,,,SOLD,,,,,CALF,,,,,,96064,,,
40,2669680,14022365,JKRP-96-68,,,,10/09/1996,,,2,FALSE,36,30,,F6 J2,,XVX-90-38        ,8882607, ,,,,,,,,,COW,,,,,76.1,270,57.1,98,16.1
41,2669680,14022366,JKRP-96-12,,,,11/08/1996,,,2,FALSE,62,31,,F6 J2,,XVX-91-23        ,9641075, ,,,,,,,,,COW,,,,,113.7,18,59.1,97.8,15.5
42,2669680,14022367,JKRP-96-41,,,,24/08/1996,,,2,FALSE,45,48,,F,662014,XVX-93-3         ,11202198, ,,,,,,,,,COW,,,,,54.4,136,61.1,69,11
43,2669680,14022368,JKRP-96-17,,,,14/08/1996,,,2,FALSE,70,31,,F11J1,662167,XVX-89-39        ,8127192,,,,,,,,,,COW,,,,,127.3,47,59.2,99.9,15.5
44,2669680,14022369,JKRP-96-27,,,,18/08/1996,,,2,FALSE,63,49,,F12J4,662167,XVX-87-15        ,8127756,,,,,,,,,,COW,,,,,142.4,69,62.3,82.8,11.2
45,2669680,14022370,JKRP-96-30,,,18/05/1998,21/08/1996,,,,FALSE,5,37,,F,63622,XVX-93-48        ,11202194,,,,,CULLED,BADTYPE,,,Undershot jaw,CALF,,,,,,96030,,,
46,2669680,14022371,JKRP-96-32,,,,19/08/1996,,,2,FALSE,39,46,,F,662167,XVX-92-24        ,10489339, ,,,,CULLED,MASTREM,,,,COW,,,,,50.6,89,51.3,,
47,2669680,14022372,JKRP-96-58,,,,30/08/1996,,,2,FALSE,69,49,,F,662991,XVX-90-6         ,8882568,,,,,,,,,,COW,,,,,118.5,226,62.4,90.1,14.4
48,2669680,14022373,JKRP-96-7,,,16/09/1997,7/08/1996,,,,FALSE,18,9,,F10J2,662991,XVX-89-5         ,8127158,,,,,SOLD,,,,,CALF,,,,,,96007,,,
49,2669680,14022374,CQRR-95-5,,,,11/08/1996,,,2,FALSE,43,28,,F7 J1,,XVX-92-36        ,10489358, ,,,,,,,,,COW,,,,,,1,,,
50,2669680,14022375,JKRP-96-43,,,,24/08/1996,,,2,FALSE,48,50,,F,662014,XVX-92-19        ,10489335,,,,,,,,,,COW,,,,,73.6,139,62.5,70.8,11.2
51,2669680,14022376,JKRP-96-57,,,,30/08/1996,,,2,FALSE,56,48,,F13J1,662167,XVX-93-15        ,11202226,,,,,,,,,,COW,,,,,82.3,210,61,87.5,13.6
52,2669680,14022377,JKRP-96-71,,,,12/09/1996,,,2,FALSE,47,45,,F12,662991,XVX-89-66        ,8127120,,,,,,,,,,COW,,,,,39.3,281,60.9,74.9,17.8
53,2669680,14022378,JKRP-96-13,,,,13/08/1996,,,2,FALSE,42,48,,F,662014,XVX-91-46        ,9641102,,,,,,,,,,COW,,,,,70.8,32,61.2,73.9,18.1
54,2669680,14022379,JKRP-96-21,,,,17/08/1996,,,2,FALSE,50,48,,F12J2,662014,XVX-93-12        ,11202230,,,,,,,,,,COW,,,,,95.8,55,62.1,78.9,19
55,2669680,14022380,JKRP-96-26,,,16/09/1997,18/08/1996,,,,FALSE,21,35,,F,662167,XVX-90-20        ,8882606,,,,,SOLD,,,,,CALF,,,,,,96026,,,
56,2669680,14022381,JKRP-96-16,,,,14/08/1996,,,2,FALSE,59,30,,F8,,XVX-88-2         ,8127130, ,,,,,,,,,COW,,,,,109.1,38,57.6,89.2,11.3
57,2669680,14022382,JKRP-96-6,,,,7/08/1996,,,2,FALSE,41,33,,F,662014,XVX-92-16        ,10489352, ,,,,,,,,,COW,,,,,45.2,6,59.4,73.7,16.2
58,2669680,14022383,JKRP-96-45,,,,25/08/1996,,,2,FALSE,58,49,,F,662167,XVX-92-15        ,10489353,,,,,,,,,,COW,,,,,65.8,150,62.4,84.1,18.4
59,2669680,14022384,JKRP-96-38,,,,23/08/1996,,,2,FALSE,60,50,,F,662014,XVX-87-17        ,8127762, ,,,,,,,,,COW,,,,,77.5,104,62.6,,
60,2669680,14022385,JKRP-96-76,,,,21/09/1996,,,2,FALSE,34,48,,F,662224,XVX-90-18        ,8882596,,,,,,,,,,COW,,,,,61.7,283,61.3,69.8,14.3
61,2669680,14022386,JKRP-96-63,,,,5/09/1996,,,2,FALSE,31,46,,F,662991,XVX-88-6         ,8170658, ,,,,,,,,,COW,,,,,9.6,247,61.7,87.8,16.8
62,2669680,14022387,JKRP-96-56,,,,29/08/1996,,,2,FALSE,31,48,,F11J1,662167,XVX-89-8         ,8127199,,,,,,,,,,COW,,,,,20.2,201,62.2,74.4,17.7
63,2669680,14022388,JKRP-96-25,,,,18/08/1996,,,2,FALSE,46,49,,F,662014,XVX-91-21        ,9637450, ,,,,,,,,,COW,,,,,67.9,68,62.5,82.5,13.8
64,2669680,14022389,JKRP-96-75,,,16/09/1997,14/09/1996,,,,FALSE,44,38,,F,662224,XVX-86-55        ,5705168,,,,,SOLD,,,,,CALF,,,,,,96075,,,
65,2669680,14022390,JKRP-96-55,,,,29/08/1996,,,2,FALSE,42,46,,F12,662014,XVX-89-46        ,8127078, ,,,,,,,,,COW,,,,,52.7,178,61.9,71.4,18.8
66,2669680,14022391,JKRP-96-74,,,,13/09/1996,,,2,FALSE,14,48,,F,662016,XVX-92-30        ,10489345,,,,,,,,,,COW,,,,,14.7,284,62.3,54.2,18.2
67,2669680,14022392,JKRP-96-73,,,16/09/1997,13/09/1996,,,,FALSE,30,11,,F12,662224,XVX-89-17        ,8127191,,,,,SOLD,,,,,CALF,,,,,,96073,,,
68,2669680,14022393,JKRP-96-42,,,,24/08/1996,,,2,FALSE,36,49,,F,662014,XVX-85-55        ,4895374, ,,,,,,,,,COW,,,,,28.6,137,62.5,78.8,17.9
69,2669680,14022394,JKRP-96-31,,,16/09/1997,19/08/1996,,,,FALSE,18,38,,F,662014,XVX-85-40        ,4895868,,,,,SOLD,,,,,CALF,,,,,,96031,,,
70,2669680,14022395,JKRP-96-1,,,11/03/1999,2/08/1996,,,1,FALSE,4,47,,F,662014,XVX-86-4         ,5705307,,,,,CULLED,LOWPRD,,,,COW,,,,,,4,,,
71,2669680,14022396,JKRP-96-2,,,11/03/1999,2/08/1996,,,1,FALSE,7,47,,F,662014,XVX-86-4         ,5705307,,,,,CULLED,LOWPRD,,,,COW,,,,,,5,,,
72,2669680,14022397,JKRP-96-62,,,,2/09/1996,,,2,FALSE,46,49,,F,662167,XVX-91-58        ,9637461, ,,,,,,,,,COW,,,,,56.9,234,62.5,,
73,2669680,14022398,JKRP-96-24,,,8/09/1998,17/08/1996,,,,FALSE,29,36,,F11J1,662224,XVX-89-48        ,8127116,,,,,DIED,UNKNWN,,,,CALF,,,,,,96024,,,
74,2669680,14022399,JKRP-96-18,,,16/09/1997,15/08/1996,,,,FALSE,26,13,,F12J4,662167,XVX-86-36        ,5705156,,,,,SOLD,,,,,CALF,,,,,,96018,,,
75,2669680,14022400,JKRP-96-15,,,16/09/1997,13/08/1996,,,,FALSE,17,36,,F,662014,XVX-93-57        ,11202238,,,,,SOLD,,,,,CALF,,,,,,96015,,,
76,2669680,14022401,JKRP-96-22,,,16/09/1997,17/08/1996,,,,FALSE,16,37,,F12J4,662014,XVX-87-52        ,8127771,,,,,SOLD,,,,,CALF,,,,,,96022,,,
77,2669680,14022402,JKRP-96-50,,,,27/08/1996,,,2,FALSE,22,48,,F,662014,XVX-91-48        ,9637439, ,,,,,,,,,COW,,,,,17.1,169,61,58.1,19
78,2669680,14022403,JKRP-96-37,,,16/09/1997,22/08/1996,,,,FALSE,21,38,,F,662014,XVX-92-14        ,10489316,,,,,SOLD,,,,,CALF,,,,,,96037,,,
79,2669680,14022404,JKRP-96-70,,,16/09/1997,10/09/1996,,,,FALSE,13,36,,F,662016,XVX-92-32        ,10489326,,,,,SOLD,,,,,CALF,,,,,,96070,,,
80,2669680,12761269,XVX-95-68,,,5/03/1997,31/08/1995,,,,FALSE,22,34,,F10J2,662224,XVX-89-5         ,8127158,,,,,SOLD,,,,,CALF,,,,,,85068,,,
81,2669680,12761266,XVX-95-2,,,5/03/1997,9/08/1995,,,,FALSE,36,35,,F12J4,662025,XVX-88-40        ,8127168,,,,,SOLD,,,,,CALF,,,,,,85002,,,
82,2669680,12761278,XVX-95-71,,,5/03/1997,1/09/1995,,,,FALSE,26,36,,F,662025,XVX-92-13        ,10489341,,,,,SOLD,,,,,CALF,,,,,,85071,,,
83,2669680,12761280,XVX-95-13,,,5/03/1997,15/08/1995,,,,FALSE,8,37,,F,63622,XVX-90-18        ,8882596,,,,,SOLD,,,,,CALF,,,,,,85013,,,
84,2669680,12761288,XVX-95-18,,,8/04/1997,17/08/1995,,,,FALSE,25,34,,F10,662224,XVX-89-71        ,8127163,,,,,CULLED,NOTPREGNANT,,,,CALF,,,,,,85018,,,
85,2669680,12761289,XVX-95-21,,,5/03/1997,17/08/1995,,,,FALSE,28,35,,F,63622,XVX-90-39        ,8882593,,,,,SOLD,,,,,CALF,,,,,,85021,,,
87,2669680,12761293,XVX-95-45,,,5/03/1997,25/08/1995,,,,FALSE,17,38,,F,63622,XVX-91-47        ,9641090,,,,,SOLD,,,,,CALF,,,,,,85045,,,
88,2669680,12761294,XVX-95-62,,,2/06/1996,30/08/1995,,,,FALSE,31,38,,F,662025,XVX-91-57        ,9637455,,,,,SOLD,,,,,CALF,,,,,,85062,,,
89,2669680,12761296,XVX-95-61,,,5/03/1997,30/08/1995,,,,FALSE,27,35,,F11J1,662025,XVX-89-14        ,8127106,,,,,SOLD,,,,,CALF,,,,,,85061,,,
90,2669680,12761297,XVX-95-12,,,5/03/1997,15/08/1995,,,,FALSE,34,38,,F,662025,XVX-91-5         ,9641099,,,,,SOLD,,,,,CALF,,,,,,85012,,,
91,2669680,12761301,XVX-95-8,,,8/04/1997,13/08/1995,,,,FALSE,25,37,,F,662025,XVX-87-45        ,8127159,,,,,CULLED,NOTPREGNANT,,,,CALF,,,,,,85008,,,
92,2669680,13099093,FCLQ-95-23,,,8/04/1997,14/08/1995,,,,FALSE,36,37,,F12A4,662076,CRDR-92-23       ,10062349,,,,,CULLED,NOTPREGNANT,,,,CALF,,,,,,85023,,,
93,2669680,13099106,FCLQ-95-63,,,2/01/1997,28/08/1995,,,,FALSE,63,39,,F8 A4,90274,XLV-89-45        ,8168181,,,,,DIED,OTHER,,,,CALF,,,,,,85063,,,
94,2669680,14770456,JKRP-97-21,,,,9/08/1997,,,,FALSE,42,35,,F13X1,662246,XVX-94-3         ,12087338,,,,,CULLED,NOTPREGNANT,,,,HEIFER,,,,,,74,,,
95,2669680,14770457,JKRP-97-16,,,,7/08/1997,,,1,FALSE,48,43,,F,662246,XVX-91-4         ,9637458,,,,,,,,,,COW,,,,,48,48,46.3,101.5,17.8
96,2669680,14770458,JKRP-97-11,,,,6/08/1997,,,1,FALSE,51,39,,F,662246,XVX-92-17        ,10489305,,,,,,,,,,COW,,,,,70.5,33,36.1,,
97,2669680,14770459,JKRP-97-7,,,,5/08/1997,,,1,FALSE,36,30,,F8 J4,663386,XVX-89-51        ,8127122,,,,,CULLED,UDR HEALTH,,,Sore teats,COW,,,,,61.7,16,15.7,,
98,2669680,14770460,JKRP-97-10,,,,6/08/1997,,,1,FALSE,31,43,,F12J4,662300,XVX-85-8         ,4895217,,,,,,,,,,COW,,,,,54.5,24,48.9,65.6,18.2
99,2669680,14770461,JKRP-97-19,,,,8/08/1997,,,1,FALSE,61,26,,F,662246,XVX-92-27        ,10489319,,,,,,,,,,COW,,,,,83.6,64,44.2,83.7,16.1
100,2669680,14770462,JKRP-97-23,,,,9/08/1997,,,1,FALSE,54,44,,F,662246,XVX-92-10        ,10489303,,,,,,,,,,COW,,,,,78,79,49.2,88.3,13.2
101,2669680,14770463,JKRP-97-46,,,1/09/1997,26/08/1997,,,,FALSE,39,21,,F,663333,XVX-92-11        ,10489300,,,,,DIED,OTHERC,,,,CALF,,,,,,97046,,,
102,2669680,14770464,JKRP-97-18,,,,8/08/1997,,,1,FALSE,41,36,,F13J1,662300,XVX-94-22        ,12087306,,,,,CULLED,MASTREM,,,,COW,,,,,54.3,60,18.8,,
103,2669680,14770465,JKRP-97-51,,,,28/08/1997,,,1,FALSE,48,45,,F,662300,XVX-92-51        ,10489338,,,,,,,,,,COW,,,,,82.5,154,49.2,75.8,17.7
104,2669680,14770466,JKRP-97-22,,,,9/08/1997,,,1,FALSE,35,44,,F,662300,XVX-94-23        ,12087339,,,,,,,,,,COW,,,,,30,76,48.7,89.1,16.5
105,2669680,14770467,JKRP-97-52,,,,30/08/1997,,,1,FALSE,65,42,,F,663551,XVX-90-14        ,8882587,,,,,,,,,,COW,,,,,97.1,156,52.8,107.7,16.2
106,2669680,14770468,JKRP-97-28,,,,10/08/1997,,,1,FALSE,53,43,,F,663551,XVX-91-31        ,9641092,,,,,,,,,,COW,,,,,92.1,94,52.9,80.6,13.6
107,2669680,14770469,JKRP-97-53,,,,31/08/1997,,,1,FALSE,71,41,,F,663410,XVX-94-27        ,12087308,,,,,,,,,,COW,,,,,88.3,157,48.4,92.8,17.3
108,2669680,14770470,JKRP-97-14,,,10/08/1997,6/08/1997,,,,FALSE,50,35,,F12J4,662300,XVX-87-43        ,8127758,,,,,DIED,OTHERC,,,,CALF,,,,,,97014,,,
109,2669680,14770471,JKRP-97-25,,,,10/08/1997,,,1,FALSE,13,41,,F,662642,XVX-91-9         ,9641084,,,,,DIED,ECZEMA,,,,COW,,,,,22.7,90,44.2,46.7,10.1
110,2669680,14770472,JKRP-97-6,,,,5/08/1997,,,1,FALSE,49,45,,F,662246,XVX-91-28        ,9637464,,,,,,,,,,COW,,,,,55.9,13,49.2,73,18.4
111,2669680,14770473,JKRP-97-44,,,,25/08/1997,,,1,FALSE,45,21,,F12J4,662642,2/17035/84/8412  ,2815250,,,,,,,,,,COW,,,,,51.3,133,40.3,79.6,10.9
112,2669680,14770474,JKRP-97-35,,,,12/08/1997,,,1,FALSE,38,38,,F8 J4,663576,XVX-89-55        ,8127185,,,,,,,,,,COW,,,,,67.7,118,52,76.1,16.9
113,2669680,14770475,JKRP-97-1,,,,24/07/1997,,,1,FALSE,42,23,,F12J4,63684,XVX-88-54        ,8127179,,,,,,,,,,COW,,,,,75.4,2,43.1,,
114,2669680,14770476,JKRP-97-55,,,,31/08/1997,,,1,FALSE,45,42,,F13J1,663410,XVX-92-29        ,10489314,,,,,,,,,,COW,,,,,72.9,166,53.1,75.7,17.4
115,2669680,14770477,JKRP-97-39,,,12/05/1998,17/08/1997,,,,FALSE,41,9,,F,662246,XVX-92-1         ,10489336,,,,,Died,UNKNWN,,,,CALF,,,,,,97039,,,
116,2669680,14770478,JKRP-97-29,,,,10/08/1997,,,1,FALSE,60,45,,F,662246,XVX-92-40        ,10489349,,,,,,,,,,COW,,,,,90.9,95,49.3,91.5,13.2
117,2669680,14770479,JKRP-97-8,,,,5/08/1997,,,1,FALSE,31,42,,F10J2,63684,XVX-89-34        ,8127214,,,,,,,,,,COW,,,,,43.1,17,48.5,78.2,16.9
118,2669680,14770480,JKRP-97-31,,,,11/08/1997,,,1,FALSE,12,41,,F,662642,XVX-88-19        ,8170661,,,,,,,,,,COW,,,,,16.9,105,47.8,55.9,13.4
119,2669680,14770481,JKRP-97-20,,,,9/08/1997,,,1,FALSE,68,44,,F,662246,XVX-94-39        ,12087313,,,,,,,,,,COW,,,,,100.5,67,49,95.3,13.1
120,2669680,14770482,JKRP-97-33,,,,11/08/1997,,,1,FALSE,36,44,,F,662300,XVX-93-18        ,11202253,,,,,,,,,,COW,,,,,52.7,108,49,76.5,17.2
121,2669680,14770483,JKRP-97-2,,,5/08/1997,1/08/1997,,,,FALSE,50,36,,F,662300,XVX-92-19        ,10489335,,,,,SOLD,,,,,CALF,,,,,,97002,,,
122,2669680,14770484,JKRP-97-9,,,,6/08/1997,,,1,FALSE,49,37,,F,663576,XVX-93-38        ,11202240,,,,,,,,,,COW,,,,,75.8,20,47.3,85.1,16.3
123,2669680,14770485,JKRP-97-36,,,19/02/1999,13/08/1997,,,,FALSE,40,22,,F,663576,XVX-91-46        ,9641102,,,,,CULLED,NOTPREGNANT,,,,CALF,,,,,,97036,,,
124,2669680,14770486,JKRP-97-50,,,1/10/1997,28/08/1997,,,,FALSE,36,20,,F,663386,XVX-85-4         ,4895960,,,,,DIED,,,,,CALF,,,,,,97050,,,
125,2669680,14770487,JKRP-97-26,,,,10/08/1997,,,1,FALSE,64,44,,F,662246,XVX-94-48        ,12087297,,,,,,,,,,COW,,,,,87,91,49,88.3,13.8
126,2669680,14770488,JKRP-97-41,,,,20/08/1997,,,1,FALSE,26,45,,F,662642,XVX-92-15        ,10489353,,,,,,,,,,COW,,,,,36.2,128,49.2,61.6,18.6
127,2669680,14770489,JKRP-97-32,,,20/08/1997,11/08/1997,,,,FALSE,45,33,,F10J2,662300,XVX-89-25        ,8127124,,,,,DIED,OTHERC,,,,CALF,,,,,,97032,,,
128,2669680,14770490,JKRP-97-34,,,,12/08/1997,,,1,FALSE,22,44,,F,662642,XVX-93-36        ,11202204,,,,,,,,,,COW,,,,,30.2,110,48.7,58.8,18.5
129,2669680,14770491,JKRP-97-43,,,,24/08/1997,,,1,FALSE,55,44,,F,662300,XVX-93-51        ,11202205,,,,,,,,,,COW,,,,,80.5,131,48.9,89.9,17.2
130,2669680,14770492,JKRP-97-47,,,,27/08/1997,,,1,FALSE,81,44,,F,662246,XVX-93-58        ,11202225,,,,,,,,,,COW,,,,,130.3,140,46.4,99.5,13.8
131,2669680,14770493,JKRP-97-17,,,,8/08/1997,,,,FALSE,28,36,,F,662642,XVX-92-48        ,10489348,,,,,CULLED,UNKNWN,,,,HEIFER,,,,,,59,,,
132,2669680,14770494,JKRP-97-4,,,,4/08/1997,,,1,FALSE,40,42,,F,662300,XVX-92-5         ,10489317,,,,,,,,,,COW,,,,,51.4,5,48.8,73.2,17.4
133,2669680,14770495,JKRP-97-42,,,,21/08/1997,,,1,FALSE,51,44,,F,662300,XVX-94-67        ,12335201,,,,,,,,,,COW,,,,,66.6,129,49.1,83.9,13.1
134,2669680,14770496,JKRP-97-37,,,,16/08/1997,,,1,FALSE,39,23,,F,662642,XVX-90-39        ,8882593,,,,,,,,,,COW,,,,,9.2,126,43.2,69.9,15
135,2669680,14770497,JKRP-97-49,,,,27/08/1997,,,1,FALSE,49,42,,F,663551,XVX-92-57        ,10489340,,,,,,,,,,COW,,,,,72.3,144,52.8,84.9,17
136,2669680,14770498,JKRP-97-24,,,1/10/1997,9/08/1997,,,,FALSE,33,35,,F12,662246,XVX-89-17        ,8127191,,,,,DIED,,,,,CALF,,,,,,97024,,,
137,2669680,14770499,JKRP-97-13,,,,6/08/1997,,,1,FALSE,52,45,,F,662300,XVX-90-28        ,8882601,,,,,,,,,,COW,,,,,91.2,35,49.2,74,18.4
138,2669680,14770500,JKRP-97-15,,,,7/08/1997,,,1,FALSE,26,45,,F,63684,XVX-93-60        ,11202222,,,,,,,,,,COW,,,,,26.1,43,48.8,,
139,2669680,14770501,JKRP-97-3,,,,3/08/1997,,,1,FALSE,40,42,,F12J2,663386,XVX-93-25        ,11202193,,,,,,,,,,COW,,,,,33.3,4,53.1,74.3,13.6
140,2669680,14770502,JKRP-97-27,,,30/08/1997,10/08/1997,,,,FALSE,28,37,,F,662246,XVX-91-57        ,9637455,,,,,SOLD,,,,,CALF,,,,,,97027,,,
