VID,EID,Weight,DOB,TestDate,Result,Month_Yr
15997,982123516187032,45.5,1/09/2015,24/06/2016,Pregnant,2016-06
151327,982123516603823,43.5,1/09/2015,24/06/2016,Pregnant,2016-06
153449,982123500586784,53.5,1/04/2015,24/06/2016,Pregnant,2016-06
15827,982123516186591,45,1/09/2015,24/06/2016,Pregnant,2016-06
151134,982123516187257,55,1/09/2015,24/06/2016,Pregnant,2016-06
152011,982123516603822,40.5,1/09/2015,24/06/2016,Pregnant,2016-06
151237,982123516186964,40.5,1/09/2015,24/06/2016,Pregnant,2016-06
151194,982123516187286,40,1/09/2015,24/06/2016,Pregnant,2016-06
151103,982123500495942,50.5,1/09/2015,24/06/2016,Pregnant,2016-06
142547,982123500499374,73.5,1/11/2014,24/06/2016,Pregnant,2016-06
151286,982123516604146,46.5,1/09/2015,24/06/2016,Pregnant,2016-06
15656,982123500507284,53,1/06/2015,24/06/2016,Pregnant,2016-06
15882,982123516186888,58.5,1/09/2015,24/06/2016,Pregnant,2016-06
15614,982123500507702,53.5,1/06/2015,24/06/2016,Pregnant,2016-06
152034,982123516604024,49,1/09/2015,24/06/2016,Pregnant,2016-06
15390,982123500587651,61,1/03/2015,24/06/2016,Pregnant,2016-06
153573,982123516186590,58.5,1/09/2015,24/06/2016,Pregnant,2016-06
153564,982123516186910,49.5,1/09/2015,24/06/2016,Pregnant,2016-06
151175,982123516186977,38,1/09/2015,24/06/2016,Pregnant,2016-06
131700,982123490247983,88.5,1/09/2013,24/06/2016,Pregnant,2016-06
151093,982123516186571,44,1/09/2015,24/06/2016,Pregnant,2016-06
15877,982123516186847,44.5,1/09/2015,24/06/2016,Pregnant,2016-06
15358,982123500577041,68.5,1/03/2015,24/06/2016,Pregnant,2016-06
151062,982123516186999,56.5,1/09/2015,24/06/2016,Pregnant,2016-06
142176,982123500493048,81,1/09/2014,24/06/2016,Pregnant,2016-06
153494,982123517529103,52,1/06/2015,24/06/2016,Pregnant,2016-06
152007,982123516604126,41,1/09/2015,24/06/2016,Pregnant,2016-06
15672,982123487644282,61.5,1/06/2015,24/06/2016,Pregnant,2016-06
151939,982123516604140,45,1/09/2015,24/06/2016,Pregnant,2016-06
15674,982123500507312,56.5,1/06/2015,24/06/2016,Pregnant,2016-06
151916,982123516604003,52,1/09/2015,24/06/2016,Pregnant,2016-06
153546,982123517529163,66.5,1/04/2015,24/06/2016,Pregnant,2016-06
15943,982123516187260,50,1/09/2015,24/06/2016,Pregnant,2016-06
151986,982123516603834,52.5,1/09/2015,24/06/2016,Pregnant,2016-06
152009,982123516604042,43.5,1/09/2015,24/06/2016,Pregnant,2016-06
151341,982123516604133,46,1/09/2015,24/06/2016,Pregnant,2016-06
151319,982123516604013,47.5,1/09/2015,24/06/2016,Pregnant,2016-06
13016,982123465108851,75,17/02/2013,24/06/2016,Pregnant,2016-06
151143,982123490091253,75.5,1/03/2015,24/06/2016,Pregnant,2016-06
15530,982123500577073,65.5,1/03/2015,24/06/2016,Pregnant,2016-06
153453,982123500586376,60,1/04/2015,24/06/2016,Pregnant,2016-06
152013,982123516604028,41.5,1/09/2015,24/06/2016,Pregnant,2016-06
153489,982123517529125,55.5,1/07/2015,24/06/2016,Pregnant,2016-06
151266,982123516186946,46,1/09/2015,24/06/2016,Pregnant,2016-06
151213,982123516187371,47.5,1/09/2015,24/06/2016,Pregnant,2016-06
153482,982123490349826,71.5,1/04/2015,24/06/2016,Pregnant,2016-06
15618,982123500507522,50,1/06/2015,24/06/2016,Pregnant,2016-06
151095,982123516186950,50,1/09/2015,24/06/2016,Pregnant,2016-06
151988,982123516604011,49,1/09/2015,24/06/2016,Pregnant,2016-06
15946,982123516187357,51.5,1/09/2015,24/06/2016,Pregnant,2016-06
131639,982123490247726,89,1/09/2013,24/06/2016,Pregnant,2016-06
151336,982123516604137,45.5,1/09/2015,24/06/2016,Pregnant,2016-06
151119,982123516186939,57,1/09/2015,24/06/2016,Pregnant,2016-06
142289,982123500495251,68.5,1/09/2014,24/06/2016,Pregnant,2016-06
151354,982123516604097,39.5,1/09/2015,24/06/2016,Pregnant,2016-06
153514,982123517529104,82,1/04/2015,24/06/2016,Pregnant,2016-06
153408,982123500586947,47.5,1/04/2015,24/06/2016,Pregnant,2016-06
151243,982123516187364,51,1/09/2015,24/06/2016,Pregnant,2016-06
151100,982123516186882,60.5,1/09/2015,24/06/2016,Pregnant,2016-06
15743,982123500506940,56.5,1/06/2015,24/06/2016,Pregnant,2016-06
15900,982123516187252,47.5,1/09/2015,24/06/2016,Pregnant,2016-06
15945,982123516186928,40,1/09/2015,24/06/2016,Pregnant,2016-06
15832,982123516187369,52,1/09/2015,24/06/2016,Pregnant,2016-06
151186,982123516186906,43,1/09/2015,24/06/2016,Pregnant,2016-06
151124,982123516187265,51,1/09/2015,24/06/2016,Pregnant,2016-06
151165,982123516186547,47,1/09/2015,24/06/2016,Pregnant,2016-06
15898,982123516187294,43.5,1/09/2015,24/06/2016,Pregnant,2016-06
151903,982123516604114,45,1/09/2015,24/06/2016,Pregnant,2016-06
151005,982123516186833,44,1/09/2015,24/06/2016,Pregnant,2016-06
142480,982123500493269,84.5,1/09/2014,24/06/2016,Pregnant,2016-06
15350,982123500577176,74.5,1/03/2015,24/06/2016,Pregnant,2016-06
15908,982123516187348,41,1/09/2015,24/06/2016,Pregnant,2016-06
15766,982123500507708,63.5,1/06/2015,24/06/2016,Pregnant,2016-06
15631,982123500500304,62.5,1/06/2015,24/06/2016,Pregnant,2016-06
153504,982123517529099,71,1/04/2015,24/06/2016,Pregnant,2016-06
151144,982123516187150,44.5,1/09/2015,24/06/2016,Pregnant,2016-06
151935,982123516604117,59.5,1/09/2015,24/06/2016,Pregnant,2016-06
151066,982123516187282,60,1/09/2015,24/06/2016,Pregnant,2016-06
151048,982123516186592,42,1/09/2015,24/06/2016,Pregnant,2016-06
151257,982123516187166,47,1/09/2015,24/06/2016,Pregnant,2016-06
15994,982123516187016,48.5,1/09/2015,24/06/2016,Pregnant,2016-06
151056,982123516187392,50,1/09/2015,24/06/2016,Pregnant,2016-06
15922,982123519264675,43,1/09/2015,24/06/2016,Pregnant,2016-06
151233,982123516186580,41.5,1/09/2015,24/06/2016,Pregnant,2016-06
151907,982123516604030,50.5,1/09/2015,24/06/2016,Pregnant,2016-06
151064,982123516187010,44.5,1/09/2015,24/06/2016,Pregnant,2016-06
151060,982123516186981,44,1/09/2015,24/06/2016,Pregnant,2016-06
151129,982123516187035,54,1/09/2015,24/06/2016,Pregnant,2016-06
151321,982123516604000,51,1/09/2015,24/06/2016,Pregnant,2016-06
15962,982123516187009,46,1/09/2015,24/06/2016,Pregnant,2016-06
151086,982123516187018,47.5,1/09/2015,24/06/2016,Pregnant,2016-06
15834,982123516187368,49.5,1/09/2015,24/06/2016,Pregnant,2016-06
151052,982123516186864,46.5,1/09/2015,24/06/2016,Pregnant,2016-06
15843,982123516186556,55,1/09/2015,24/06/2016,Pregnant,2016-06
15977,982123516186806,47.5,1/09/2015,24/06/2016,Pregnant,2016-06
151041,982123516187283,46,1/09/2015,24/06/2016,Pregnant,2016-06
151223,982123516186552,49.5,1/09/2015,24/06/2016,Pregnant,2016-06
151042,982123516186822,56.5,1/09/2015,24/06/2016,Pregnant,2016-06
151076,982123516186800,54.5,1/09/2015,24/06/2016,Pregnant,2016-06
151090,982123516186569,48,1/09/2015,24/06/2016,Pregnant,2016-06
153583,982123500577061,55.5,1/09/2015,24/06/2016,Pregnant,2016-06
15841,982123516187034,47.5,1/09/2015,24/06/2016,Pregnant,2016-06
15577,982123500507016,57,1/06/2015,24/06/2016,Pregnant,2016-06
15974,982123516186991,55.5,1/09/2015,24/06/2016,Pregnant,2016-06
15844,982123516186803,53.5,1/09/2015,24/06/2016,Pregnant,2016-06
153406,982123500586131,73,1/04/2015,24/06/2016,Pregnant,2016-06
151089,982123516186982,42.5,1/09/2015,24/06/2016,Pregnant,2016-06
151926,982123516604122,40.5,1/09/2015,24/06/2016,Pregnant,2016-06
15839,982123516186826,51,1/09/2015,24/06/2016,Pregnant,2016-06
151192,982123516187254,52.5,1/09/2015,24/06/2016,Pregnant,2016-06
151970,982123516603991,53.5,1/09/2015,24/06/2016,Pregnant,2016-06
151049,982123516186821,55.5,1/09/2015,24/06/2016,Pregnant,2016-06
15591,982123500507472,60.5,1/06/2015,24/06/2016,Pregnant,2016-06
151924,982123516603976,51.5,1/09/2015,24/06/2016,Pregnant,2016-06
15464,982123500576710,71.5,1/03/2015,24/06/2016,Pregnant,2016-06
151245,982123516186944,43,1/09/2015,24/06/2016,Pregnant,2016-06
142729,982123500490243,65.5,1/11/2014,24/06/2016,Pregnant,2016-06
142702,982123500544653,62.5,1/11/2014,24/06/2016,Pregnant,2016-06
15879,982123516186858,46,1/09/2015,24/06/2016,Pregnant,2016-06
15480,982123500587787,49.5,1/03/2015,24/06/2016,Pregnant,2016-06
151141,982123516186565,56,1/09/2015,24/06/2016,Pregnant,2016-06
151170,982123500581489,62.5,1/03/2015,24/06/2016,Pregnant,2016-06
151006,982123516187024,44.5,1/09/2015,24/06/2016,Pregnant,2016-06
151368,982123516603997,44.5,1/09/2015,24/06/2016,Pregnant,2016-06
151115,982123516186814,48,1/09/2015,24/06/2016,Pregnant,2016-06
151149,982123516186808,50,1/09/2015,24/06/2016,Pregnant,2016-06
151111,982123516187379,50,1/09/2015,24/06/2016,Pregnant,2016-06
151074,982123516186825,44.5,1/09/2015,24/06/2016,Pregnant,2016-06
151008,982123516186842,51.5,1/09/2015,24/06/2016,Pregnant,2016-06
151264,982123516186925,47,1/09/2015,24/06/2016,Pregnant,2016-06
151075,982123516187355,47,1/09/2015,24/06/2016,Pregnant,2016-06
151951,982123516604021,42,1/09/2015,24/06/2016,Pregnant,2016-06
153407,982123500586825,56.5,1/06/2015,24/06/2016,Pregnant,2016-06
15894,982123516186952,41,1/09/2015,24/06/2016,Pregnant,2016-06
151002,982123516187290,47.5,1/09/2015,24/06/2016,Pregnant,2016-06
15982,982123516186869,59,1/09/2015,24/06/2016,Pregnant,2016-06
15958,982123516187285,51,1/09/2015,24/06/2016,Pregnant,2016-06
15619,982123500507066,60.5,1/06/2015,24/06/2016,Pregnant,2016-06
15895,982123516187017,43,1/09/2015,24/06/2016,Pregnant,2016-06
151207,982123516186581,44.5,1/09/2015,24/06/2016,Pregnant,2016-06
15862,982123490349577,48,1/09/2015,24/06/2016,Pregnant,2016-06
151925,982123516187186,51,1/09/2015,24/06/2016,Pregnant,2016-06
151156,982123516186816,48.5,1/09/2015,24/06/2016,Pregnant,2016-06
15988,982123516186796,43,1/09/2015,24/06/2016,Pregnant,2016-06
151011,982123516186957,47.5,1/09/2015,24/06/2016,Pregnant,2016-06
15730,982123500507758,59.5,1/06/2015,24/06/2016,Pregnant,2016-06
152020,982123516603840,50,1/09/2015,24/06/2016,Pregnant,2016-06
151004,982123516187375,45,1/09/2015,24/06/2016,Pregnant,2016-06
153568,982123516186586,50.5,1/09/2015,24/06/2016,Pregnant,2016-06
15863,982123516186548,52.5,1/09/2015,24/06/2016,Pregnant,2016-06
15838,982123516187261,46.5,1/09/2015,24/06/2016,Pregnant,2016-06
15842,982123517529134,48.5,1/09/2015,24/06/2016,Pregnant,2016-06
151135,982123516186885,45,1/09/2015,24/06/2016,Pregnant,2016-06
15833,982123516187003,44.5,1/09/2015,24/06/2016,Pregnant,2016-06
153512,982123519264698,54.5,1/06/2015,24/06/2016,Pregnant,2016-06
151162,982123516187258,46,1/09/2015,24/06/2016,Pregnant,2016-06
15818,982123516186891,46.5,1/09/2015,24/06/2016,Pregnant,2016-06
15470,982123500577289,61,1/03/2015,24/06/2016,Pregnant,2016-06
15826,982123516186884,48.5,1/09/2015,24/06/2016,Pregnant,2016-06
15972,982123516187021,44.5,1/09/2015,24/06/2016,Pregnant,2016-06
15381,982123500576705,68,1/03/2015,24/06/2016,Pregnant,2016-06
151239,982123516186980,59,1/09/2015,24/06/2016,Pregnant,2016-06
151199,982123516186811,43,1/09/2015,24/06/2016,Pregnant,2016-06
142583,982123500544676,67.5,1/11/2014,24/06/2016,Pregnant,2016-06
151291,982123516604004,43.5,1/09/2015,24/06/2016,Pregnant,2016-06
15878,982123516187267,43,1/09/2015,24/06/2016,Pregnant,2016-06
151272,982123516187385,48,1/09/2015,24/06/2016,Pregnant,2016-06
151216,982123516187251,45,1/09/2015,24/06/2016,Pregnant,2016-06
151224,982123516187273,45.5,1/09/2015,24/06/2016,Pregnant,2016-06
151000,982123516186798,54,1/09/2015,24/06/2016,Pregnant,2016-06
15665,982123500507367,54.5,1/06/2015,24/06/2016,Pregnant,2016-06
153521,982123517529079,66.5,1/04/2015,24/06/2016,Pregnant,2016-06
151136,982123516186979,39.5,1/09/2015,24/06/2016,Pregnant,2016-06
153579,982123516187359,45,1/09/2015,24/06/2016,Pregnant,2016-06
153477,982123500586903,55,1/06/2015,24/06/2016,Pregnant,2016-06
151953,982123516604043,45,1/09/2015,24/06/2016,Pregnant,2016-06
151017,982123516186566,63,1/09/2015,24/06/2016,Pregnant,2016-06
153578,982123490349973,48,1/09/2015,24/06/2016,Pregnant,2016-06
15840,982123516186846,59,1/09/2015,24/06/2016,Pregnant,2016-06
15959,982123516187353,54.5,1/09/2015,24/06/2016,Pregnant,2016-06
15989,982123516187022,43,1/09/2015,24/06/2016,Pregnant,2016-06
151025,982123516187014,43,1/09/2015,24/06/2016,Pregnant,2016-06
151031,982123516186955,44,1/09/2015,24/06/2016,Pregnant,2016-06
153585,982123516186938,45.5,1/09/2015,24/06/2016,Pregnant,2016-06
151323,982123516603956,54,1/09/2015,24/06/2016,Pregnant,2016-06
153437,982123500586936,55,1/06/2015,24/06/2016,Pregnant,2016-06
15654,982123500507768,48,1/06/2015,24/06/2016,Pregnant,2016-06
151163,982123516186593,47.5,1/09/2015,24/06/2016,Pregnant,2016-06
151351,982123516603963,43,1/09/2015,24/06/2016,Pregnant,2016-06
15590,982123500507487,42.5,1/06/2015,24/06/2016,Pregnant,2016-06
151366,982123516603967,58.5,1/09/2015,24/06/2016,Pregnant,2016-06
153571,982123516187026,43.5,1/09/2015,24/06/2016,Pregnant,2016-06
151965,982123516603828,52.5,1/09/2015,24/06/2016,Pregnant,2016-06
153544,982123517529144,67,1/04/2015,24/06/2016,Pregnant,2016-06
151024,982123516186927,50,1/09/2015,24/06/2016,Pregnant,2016-06
142384,982123500492606,74.5,1/09/2014,24/06/2016,Pregnant,2016-06
142929,982123500494637,72.5,1/11/2014,24/06/2016,Pregnant,2016-06
151253,982123516187378,51.5,1/09/2015,24/06/2016,Pregnant,2016-06
151992,982123516603998,45,1/09/2015,24/06/2016,Pregnant,2016-06
153411,982123500586796,49,1/07/2015,24/06/2016,Pregnant,2016-06
152021,982123516603990,45.5,1/09/2015,24/06/2016,Pregnant,2016-06
15905,982123516186876,53,1/09/2015,24/06/2016,Pregnant,2016-06
15871,982123516187040,64,1/09/2015,24/06/2016,Pregnant,2016-06
15645,982123500506965,49,1/06/2015,24/06/2016,Pregnant,2016-06
153572,982123516187160,47,1/09/2015,24/06/2016,Pregnant,2016-06
151131,982123517529153,45.5,1/09/2015,24/06/2016,Pregnant,2016-06
15851,982123516186997,46.5,1/09/2015,24/06/2016,Pregnant,2016-06
15859,982123516186859,55,1/09/2015,24/06/2016,Pregnant,2016-06
15947,982123516187023,50.5,1/09/2015,24/06/2016,Pregnant,2016-06
15763,982123500507167,50.5,1/06/2015,24/06/2016,Pregnant,2016-06
152038,982123516604032,47.5,1/09/2015,24/06/2016,Pregnant,2016-06
151161,982123516187259,45.5,1/03/2015,24/06/2016,Pregnant,2016-06
15596,982123500507483,56,1/06/2015,24/06/2016,Pregnant,2016-06
151128,982123516186988,55,1/09/2015,24/06/2016,Pregnant,2016-06
15983,982123516186851,47,1/09/2015,24/06/2016,Pregnant,2016-06
151290,982123516603959,43.5,1/09/2015,24/06/2016,Pregnant,2016-06
15331,982123500587836,58.5,1/03/2015,24/06/2016,Pregnant,2016-06
15814,982123516187358,48.5,1/09/2015,24/06/2016,Pregnant,2016-06
151918,982123516603989,57.5,1/09/2015,24/06/2016,Pregnant,2016-06
153570,982123516186810,50,1/09/2015,24/06/2016,Pregnant,2016-06
15949,982123516186947,57,1/09/2015,24/06/2016,Pregnant,2016-06
151098,982123519264696,61.5,1/09/2015,24/06/2016,Pregnant,2016-06
15995,982123516186854,48,1/09/2015,24/06/2016,Pregnant,2016-06
15903,982123516186838,45.5,1/09/2015,24/06/2016,Pregnant,2016-06
151300,982123516604031,49.5,1/09/2015,24/06/2016,Pregnant,2016-06
151289,982123516603948,42.5,1/09/2015,25/06/2016,Pregnant,2016-06
15899,982123516187360,45.5,1/09/2015,25/06/2016,Pregnant,2016-06
15912,982123516187367,50,1/09/2015,25/06/2016,Pregnant,2016-06
15421,982123500577217,60,1/03/2015,25/06/2016,Pregnant,2016-06
151238,982123516187012,42,1/09/2015,25/06/2016,Pregnant,2016-06
151032,982123517529173,49,1/09/2015,25/06/2016,Pregnant,2016-06
153491,982123517529081,66,1/04/2015,25/06/2016,Pregnant,2016-06
153438,982123500586623,49.5,1/07/2015,25/06/2016,Pregnant,2016-06
151010,982123516186835,47.5,1/09/2015,25/06/2016,Pregnant,2016-06
15948,982123516186820,56,1/09/2015,25/06/2016,Pregnant,2016-06
15739,982123500506870,49,1/06/2015,25/06/2016,Pregnant,2016-06
151923,982123516604045,46.5,1/09/2015,25/06/2016,Pregnant,2016-06
151142,982123516187269,45,1/09/2015,25/06/2016,Pregnant,2016-06
153466,982123500586858,48.5,1/06/2015,25/06/2016,Pregnant,2016-06
151021,982123516186983,50,1/09/2015,25/06/2016,Pregnant,2016-06
151146,982123516187279,42,1/09/2015,25/06/2016,Pregnant,2016-06
151915,982123516604040,49.5,1/09/2015,25/06/2016,Pregnant,2016-06
15825,982123516186849,50.5,1/09/2015,25/06/2016,Pregnant,2016-06
151335,982123516603962,46.5,1/09/2015,25/06/2016,Pregnant,2016-06
15626,982123500507200,52,1/06/2015,25/06/2016,Pregnant,2016-06
153502,982123517529090,59,1/07/2015,25/06/2016,Pregnant,2016-06
151254,982123516186996,47,1/09/2015,25/06/2016,Pregnant,2016-06
15795,982123500500517,58,1/06/2015,25/06/2016,Pregnant,2016-06
151197,982123516187011,53,1/09/2015,25/06/2016,Pregnant,2016-06
153522,982123517529113,59.5,1/07/2015,25/06/2016,Pregnant,2016-06
153479,982123500586219,55,1/06/2015,25/06/2016,Pregnant,2016-06
153470,982123500586039,76,1/04/2015,25/06/2016,Pregnant,2016-06
15888,982123516186799,50.5,1/09/2015,25/06/2016,Pregnant,2016-06
15852,982123516186978,48.5,1/09/2015,25/06/2016,Pregnant,2016-06
15828,982123516186857,53.5,1/09/2015,25/06/2016,Pregnant,2016-06
15781,982123500507571,62,1/06/2015,25/06/2016,Pregnant,2016-06
151299,982123516604142,42.5,1/09/2015,25/06/2016,Pregnant,2016-06
15323,982123500576864,64.5,1/03/2015,25/06/2016,Pregnant,2016-06
153405,982123500586393,59.5,1/04/2015,25/06/2016,Pregnant,2016-06
142588,982123500496851,83,1/11/2014,25/06/2016,Pregnant,2016-06
142169,982123500492996,76,1/09/2014,25/06/2016,Pregnant,2016-06
151158,982123517529158,52,1/09/2015,25/06/2016,Pregnant,2016-06
153456,982123500586045,51,1/06/2015,25/06/2016,Pregnant,2016-06
151934,982123516604136,43,1/09/2015,25/06/2016,Pregnant,2016-06
151897,982123516603973,44,1/09/2015,25/06/2016,Pregnant,2016-06
151975,982123516604007,51,1/09/2015,25/06/2016,Pregnant,2016-06
151113,982123516186861,50,1/09/2015,25/06/2016,Pregnant,2016-06
15659,982123500507540,50.5,1/06/2015,25/06/2016,Pregnant,2016-06
151236,982123516187171,39,1/09/2015,25/06/2016,Pregnant,2016-06
151038,982123516186965,45,1/09/2015,25/06/2016,Pregnant,2016-06
15793,982123500507223,50,1/06/2015,25/06/2016,Pregnant,2016-06
15960,982123516186972,38,1/09/2015,25/06/2016,Pregnant,2016-06
15706,982123500507763,76.5,1/06/2015,25/06/2016,Pregnant,2016-06
152950,982123516604134,42,NA,25/06/2016,Pregnant,2016-06
15658,982123500507785,49.5,1/09/2015,25/06/2016,Pregnant,2016-06
151901,982123516604131,48,1/09/2015,25/06/2016,Pregnant,2016-06
15978,982123516187351,44,1/09/2015,25/06/2016,Pregnant,2016-06
151167,982123516187289,45.5,1/09/2015,25/06/2016,Pregnant,2016-06
15872,982123516186555,42.5,1/09/2015,25/06/2016,Pregnant,2016-06
151914,982123516604046,47,1/09/2015,25/06/2016,Pregnant,2016-06
151381,982123516187187,50,1/09/2015,25/06/2016,Pregnant,2016-06
153475,982123517529131,49,1/07/2015,25/06/2016,Pregnant,2016-06
153423,982123500585959,52.5,1/04/2015,25/06/2016,Pregnant,2016-06
151047,982123516186966,42.5,1/09/2015,25/06/2016,Pregnant,2016-06
151310,982123516604041,43.5,1/09/2015,25/06/2016,Pregnant,2016-06
151222,982123517529141,44,1/09/2015,25/06/2016,Pregnant,2016-06
15759,982123517529169,60.5,1/06/2015,25/06/2016,Pregnant,2016-06
153580,982123516186873,53.5,1/09/2015,25/06/2016,Pregnant,2016-06
15769,982123500507000,61.5,1/06/2015,25/06/2016,Pregnant,2016-06
153506,982123517529100,56,1/07/2015,25/06/2016,Pregnant,2016-06
151055,982123516187389,44.5,1/09/2015,25/06/2016,Pregnant,2016-06
151154,982123516187033,42.5,1/03/2015,25/06/2016,Pregnant,2016-06
15968,982123516186843,40.5,1/09/2015,25/06/2016,Pregnant,2016-06
151318,982123516603816,43.5,1/09/2015,25/06/2016,Pregnant,2016-06
151265,982123516187250,42.5,1/09/2015,25/06/2016,Pregnant,2016-06
15999,982123516186855,48.5,1/09/2015,25/06/2016,Pregnant,2016-06
153565,982123516187363,41.5,1/09/2015,25/06/2016,Pregnant,2016-06
142686,982123500545248,80,1/11/2014,25/06/2016,Pregnant,2016-06
15731,982123500507341,60.5,1/06/2015,25/06/2016,Pregnant,2016-06
153591,982123516187295,41,1/09/2015,25/06/2016,Pregnant,2016-06
151220,982123516187188,44,1/09/2015,25/06/2016,Pregnant,2016-06
151202,982123516186903,41,1/09/2015,25/06/2016,Pregnant,2016-06
153472,982123500586026,65,1/04/2015,25/06/2016,Pregnant,2016-06
15652,982123500507771,52,1/06/2015,25/06/2016,Pregnant,2016-06
151035,982123516186919,44.5,1/09/2015,25/06/2016,Pregnant,2016-06
153581,982123516186933,36.5,1/09/2015,25/06/2016,Pregnant,2016-06
151334,982123516604105,37,1/09/2015,25/06/2016,Pregnant,2016-06
153402,982123500586423,78.5,1/04/2015,25/06/2016,Pregnant,2016-06
15620,982123490087218,47,1/06/2015,25/06/2016,Pregnant,2016-06
151118,982123516186986,50,1/09/2015,25/06/2016,Pregnant,2016-06
142615,982123500496362,55.5,1/11/2014,25/06/2016,Pregnant,2016-06
151187,982123517529165,49.5,1/09/2015,25/06/2016,Pregnant,2016-06
15864,982123516187376,50,1/09/2015,25/06/2016,Pregnant,2016-06
153435,982123516187159,65.5,1/04/2015,25/06/2016,Pregnant,2016-06
151959,982123516603837,51.5,1/09/2015,25/06/2016,Pregnant,2016-06
15940,982123516186868,46,1/09/2015,25/06/2016,Pregnant,2016-06
153537,982123517529159,66.5,1/04/2015,25/06/2016,Pregnant,2016-06
151208,982123516186989,48.5,1/09/2015,25/06/2016,Pregnant,2016-06
151920,982123516603838,49,1/09/2015,25/06/2016,Pregnant,2016-06
15593,982123500507122,65,1/06/2015,25/06/2016,Pregnant,2016-06
153567,982123490349506,44,1/09/2015,25/06/2016,Pregnant,2016-06
151050,982123516186971,46,1/09/2015,25/06/2016,Pregnant,2016-06
151955,982123516604019,45,1/09/2015,25/06/2016,Pregnant,2016-06
15893,982123516187263,53.5,1/09/2015,25/06/2016,Pregnant,2016-06
15966,982123517529132,39.5,1/09/2015,25/06/2016,Pregnant,2016-06
151046,982123516187276,51,1/09/2015,25/06/2016,Pregnant,2016-06
15845,982123519264728,51.5,1/09/2015,25/06/2016,Pregnant,2016-06
15597,982123500507783,41.5,1/06/2015,25/06/2016,Pregnant,2016-06
15411,982123500587481,62.5,1/03/2015,25/06/2016,Pregnant,2016-06
15715,982123490087216,58,1/06/2015,25/06/2016,Pregnant,2016-06
142719,982123500489090,70.5,1/11/2014,25/06/2016,Pregnant,2016-06
153401,982123500586704,59,1/04/2015,25/06/2016,Pregnant,2016-06
15916,982123516186862,40.5,1/09/2015,25/06/2016,Pregnant,2016-06
151139,982123516186956,48.5,1/09/2015,25/06/2016,Pregnant,2016-06
151940,982123516604127,51.5,1/09/2015,25/06/2016,Pregnant,2016-06
